# theta,p,s0,sInf,kappa,gamma,y0,yInf
1.788032385848947192e-01,3.366039966404242190e+00,2.285994133636561412e-02,1.782258682048954573e-02,8.350885055294722525e-02,5.937797892889170833e-05,2.091900951167668249e-02,4.696126739250740603e-03
1.829749392233453731e-01,1.284670934500270478e+00,3.426099059799207064e-02,7.932190708525087980e-03,1.301860294987130795e-01,6.005228964130877417e-05,3.079351165307509658e-02,5.023339870793875304e-03
1.521240288608891045e-01,3.233664779199499684e+00,2.484916074281375356e-02,2.048145736486382124e-02,8.568515433010032156e-02,7.080905938801110278e-05,2.125412146354803758e-02,4.683886918843582770e-03
1.790402305056477406e-01,2.519335437296191582e+00,2.393232655116727531e-02,1.343937072768136044e-02,9.015554238412464005e-02,6.427888882572380667e-05,2.202659041269116810e-02,4.182366726145935777e-03
1.363733294268351104e-01,2.088028160203969641e+00,2.608348967317480546e-02,1.784730025001836015e-02,8.325297986921395554e-02,5.105826719173990239e-05,2.126476497100213831e-02,4.352042410465422478e-03
1.713143391492525092e-01,1.186770646425470144e+00,3.019028837188987222e-02,1.175817656217922197e-02,1.345041785801843748e-01,5.394227222779684322e-05,3.003231927024449521e-02,4.990019164441375499e-03
1.732506155378553125e-01,2.714266682940972064e+00,2.064672062113202811e-02,1.971903643000306669e-02,8.426570546647285664e-02,4.339073220274266071e-05,2.009853576135900086e-02,5.841956324071409176e-03
1.344977736194553075e-01,2.252846965388418887e+00,2.560270150584858725e-02,1.853856258956981806e-02,7.160254536311660978e-02,6.514474970625952792e-05,1.922207526336008887e-02,5.463142956941456456e-03
1.537190255839008257e-01,3.352454531562843787e+00,2.318029767490182441e-02,2.066012080615910879e-02,8.367088933445075705e-02,6.011500735888490062e-05,2.071059227806499453e-02,5.584037928857460593e-03
1.771819278997114611e-01,1.108249559436675913e+00,3.353655982236284500e-02,8.181125626700775505e-03,1.295012707780392736e-01,6.987500043601980917e-05,2.891087945018014360e-02,5.045965258513343023e-03
1.538668341002417672e-01,3.111231595255993465e+00,2.359932618630538464e-02,1.640983061341426061e-02,1.018218244803178324e-01,5.844850824771033655e-05,2.245770725913776023e-02,6.270763228085700879e-03
1.700326462483252588e-01,3.618582790725938469e+00,2.627881625652000314e-02,1.600095259788853266e-02,1.084814292648592360e-01,5.789457160767612083e-05,2.357889853198949504e-02,5.204719761762349392e-03
1.443771750014648525e-01,2.785667956545638368e+00,2.257811257367070210e-02,1.645209022312887556e-02,9.656989258064933856e-02,6.033284292480688328e-05,2.236224416604148599e-02,6.013402648702390572e-03
1.504965283963885514e-01,2.235019685514164856e+00,2.290215906036269927e-02,1.146777006504841670e-02,9.221220236206419119e-02,5.506835353869131877e-05,2.263496168754487378e-02,4.181653200643489256e-03
1.410755511865136869e-01,2.875830855433716415e+00,2.397100027121559784e-02,1.366338891796168263e-02,8.374335164036574020e-02,5.814654256499008278e-05,2.204102490467782158e-02,4.266223921266489721e-03
1.478980744168240380e-01,2.969862543040369562e+00,2.224324660709669360e-02,1.395138400641261940e-02,8.325633224230941098e-02,5.801661903422449646e-05,2.221983683679530641e-02,4.219618475757301243e-03
1.389445794769093301e-01,2.452322346087224325e+00,2.532435642218509517e-02,1.531123204939169140e-02,9.033112980992358265e-02,5.175462062789139750e-05,2.181549060299256548e-02,4.580472342833910061e-03
