# theta,p,s0,sInf,kappa,gamma,y0,yInf
1.521102689152980803e-01,2.781421669823422427e+00,3.103233735461920217e-02,9.973716158961486861e-03,1.478082156946936565e-01,5.150494495908945915e-05,2.590078574376922238e-02,4.898121624333206733e-03
1.538283501355460492e-01,2.505419358290581044e+00,3.082612387553321925e-02,8.692503724344052482e-03,1.415596789987271786e-01,5.910208122730179880e-05,2.506664878716557271e-02,4.796244179321514089e-03
1.571507981382386787e-01,2.808004135908585219e+00,3.062254436018506387e-02,1.062500689101446641e-02,1.482595251190832741e-01,5.675271226157358861e-05,2.499030883448497345e-02,4.628789937100774923e-03
1.408315775419598792e-01,2.507357804003234047e+00,3.565580024738520398e-02,7.442810178070487399e-03,1.453734311380616984e-01,5.989466664844823575e-05,2.608682147485500216e-02,4.533135566687032138e-03
1.592806711578439449e-01,2.622268694095661878e+00,2.300901436692233751e-02,9.792880488736442277e-03,8.809420595123562681e-02,4.789552513324651321e-05,1.795998668256339886e-02,4.578554243998402516e-03
1.332925252767745150e-01,2.702364486827538492e+00,2.920435941512951328e-02,1.018392021820468951e-02,1.317327267830072091e-01,6.569677907551250626e-05,2.449670405116810556e-02,4.739554370297848797e-03
1.242144144544896633e-01,1.942137223725044715e+00,2.685764895229626401e-02,1.120316219495640087e-02,1.324548852441918001e-01,4.609956764763272933e-05,2.357365376826616593e-02,5.320900130237038103e-03
1.504695567708832782e-01,2.016466985448524873e+00,2.253673069163774495e-02,8.576528106537160967e-03,8.751090224613122803e-02,5.330667249045535882e-05,1.872257625940383641e-02,4.396846534496558385e-03
1.500026601424443162e-01,2.233500402365057536e+00,2.408842845138692984e-02,1.206826262829423582e-02,1.218748518270066222e-01,6.274255758660858865e-05,2.273595644333920376e-02,4.401520646765576771e-03
1.606189208115206268e-01,3.236213876234784514e+00,2.797668734580881569e-02,1.162849928211314755e-02,1.382233344079638881e-01,6.199760617090583834e-05,2.472911687757568810e-02,4.432587218070985734e-03
1.656459713963001068e-01,2.948469935115822338e+00,2.650175505063537620e-02,8.300990299286757981e-03,1.117024110044308599e-01,4.997949129441897615e-05,2.076959685376159742e-02,4.790065227771677855e-03
1.502332342208549110e-01,2.664917002296059323e+00,2.537157213268660672e-02,8.828810290052229934e-03,9.703942233140321061e-02,7.152501743696547669e-05,1.825344661634746221e-02,4.790063616964814093e-03
1.325995726885857429e-01,2.596252954133571045e+00,3.112665481787140614e-02,1.141454483430651146e-02,1.590939530719071293e-01,5.460615665295705045e-05,2.891744870689567579e-02,4.685399617459558991e-03
1.768694672836605419e-01,2.173836612875150287e+00,2.524152902106233110e-02,1.018185953594912332e-02,1.181546890405916622e-01,4.846276374140205527e-05,2.012089534052306783e-02,4.244639373528802211e-03
1.756162224446297659e-01,1.719284346755117987e+00,2.976154788574474769e-02,1.198382892357344708e-02,1.649896201793289718e-01,4.517547260578576470e-05,2.811063169320890051e-02,4.494140586014726095e-03
1.541579833267792410e-01,2.586740945578088091e+00,2.675808772022049073e-02,1.180340381806258693e-02,1.440997243605456335e-01,6.056443147753672881e-05,2.394843611098153996e-02,5.279529685695296369e-03
1.250204184065971391e-01,2.454580830080248965e+00,3.246444714323678399e-02,9.687889255267442476e-03,1.480106542054583918e-01,5.921992068164819899e-05,2.764949182563820884e-02,4.594229543555850524e-03
1.262191051184778090e-01,2.766415482166979523e+00,3.275108088531775152e-02,1.028011558698202314e-02,1.550500296964949509e-01,6.235340714550638680e-05,2.824652089816712466e-02,4.721154901895380403e-03
1.604021506049958523e-01,2.321298428661344726e+00,2.841672921431633025e-02,1.099620215775752759e-02,1.497713030489321306e-01,4.946037152947675030e-05,2.539469886562979034e-02,4.779932138963169722e-03
