# theta,p,s0,sInf,kappa,gamma,y0,yInf
2.606033301468505437e-04,2.818906204336984356e+00,2.760979100388094229e-02,2.220240600872453590e-02,3.187527191654505598e-01,6.720230442304942940e-05,1.208754516933445780e-02,1.163683867858288697e-03
2.287844434831943379e-04,3.086287877247216649e+00,2.929012715163789929e-02,2.376650174629130544e-02,2.759779615062780689e-01,6.639157838280608092e-05,1.413895419067599281e-02,1.374737116469236173e-03
4.380069004416891005e-04,2.723071331162233211e+00,2.795234215919081139e-02,1.802420416306957721e-02,2.174188948730995385e-01,5.994156740691145512e-05,1.650995434539533763e-02,1.341510593944851603e-03
3.104654867200359685e-04,2.751825597781697663e+00,2.751277419606179553e-02,1.657150171015136716e-02,2.355552047704591867e-01,5.152953224077896395e-05,2.527916765509298502e-02,1.152100463667702626e-03
2.507748180157662299e-04,2.841024931816182875e+00,3.159145101144533035e-02,1.627165046392774553e-02,2.572154785827771573e-01,5.426364623464561507e-05,2.646709827962446041e-02,1.141595679397682667e-03
2.837495006408292182e-04,2.664140967073750144e+00,2.653366423358415396e-02,1.490628450579723450e-02,2.945473399879960374e-01,6.869942440923234098e-05,2.560633919236917841e-02,9.849016227331326874e-04
3.184683966514674502e-04,3.108772932512457565e+00,3.235630555430794864e-02,1.176193377138052935e-02,2.625215208237188791e-01,5.988371707888841738e-05,3.056120714196218502e-02,1.031246705027796329e-03
4.833473707896876557e-04,2.526814694356222635e+00,2.603118332717983471e-02,2.288059469437934978e-02,2.502016020470437252e-01,7.145471975786252012e-05,2.160036741724901538e-02,8.015268550128502303e-04
3.529736418265782909e-04,2.939533516690006287e+00,2.495461186619584229e-02,1.891767434213591226e-02,2.476996710205626173e-01,6.247266401859952612e-05,2.288624894899219525e-02,8.580066582933330637e-04
5.135013667677004951e-04,2.801180918555890020e+00,2.923271870508646966e-02,1.887642413713752979e-02,3.008154179571578823e-01,4.632808469973678144e-05,2.011091469848095073e-02,1.057650739668400354e-03
4.008838423322752639e-04,2.861378711170556866e+00,2.707950474523072859e-02,2.291129659982077058e-02,2.788533981509910276e-01,5.633663308706379487e-05,1.488997016521823730e-02,8.241643308892098634e-04
3.196722019421907915e-04,2.933137710257949671e+00,2.971729723923395572e-02,1.999105528345357027e-02,2.353653925438410066e-01,5.360239659661290395e-05,2.941966126869569043e-02,8.618029046500728972e-04
4.330667812207257138e-04,3.120176014387531449e+00,3.279106699905846856e-02,1.442456879999359266e-02,2.170548996235582562e-01,5.395853741801514680e-05,1.328498405859189317e-02,9.477203765623108331e-04
7.381804287042865445e-04,3.003609063111392974e+00,2.642980900276382938e-02,2.056988772307128538e-02,2.375897210871042997e-01,6.572791207841083348e-05,1.996721033224616373e-02,7.198376410504505425e-04
2.029349750996097999e-04,3.323419694730513019e+00,2.917796149457980645e-02,1.746157486497935604e-02,2.496668224356926036e-01,6.418150381616383800e-05,2.375061344404911373e-02,6.901448462097449195e-04
6.588049822454376857e-04,3.092164819743358883e+00,2.969161940061845056e-02,1.655213724401157285e-02,2.650918021719247952e-01,6.807160064211127660e-05,1.781703883219989959e-02,1.006835760416984350e-03
3.603568970417252875e-04,2.516109373411001826e+00,2.878887261303475845e-02,1.765191324873028114e-02,3.249604259756097568e-01,6.025906462346859781e-05,2.862382161328694274e-02,7.382431479446394757e-04
3.553244323597429667e-04,2.730044435557774207e+00,3.182044051609592139e-02,1.985737599797688172e-02,2.348342403138928280e-01,6.807422848142400589e-05,9.195553910989525542e-03,9.471920339432088332e-04
4.074636392368591905e-04,2.476072338126951156e+00,3.148449375720888121e-02,1.555098993577177721e-02,2.488649724630006832e-01,4.909773086220770982e-05,3.008548668661285494e-02,1.150473183926182391e-03
3.948966452555949355e-04,2.805957575106947210e+00,2.375304361044178192e-02,1.922433056749902822e-02,2.684452601934956828e-01,6.900609274451426740e-05,1.392549362159849549e-02,8.993097351106015599e-04
6.018803778193723090e-04,3.386616839278350444e+00,3.352552529765282646e-02,2.222069331893777172e-02,2.621542021933049305e-01,4.768293652900440065e-05,1.602348812168212511e-02,8.781117323726072166e-04
4.550804482299932829e-04,3.180886793914038169e+00,2.330704794853300996e-02,2.292589003549080212e-02,2.370436012441432816e-01,5.873696947177077385e-05,2.048010440706570651e-02,9.933821423981988204e-04
6.497739182919999232e-04,3.225029381460019273e+00,2.189463624536715919e-02,1.829002799706387974e-02,2.579359095542910763e-01,5.558834394610276983e-05,1.768311201787006390e-02,9.678070499400654282e-04
2.548253689212605388e-04,2.615632678439985259e+00,3.200137273110976316e-02,1.652408416086981885e-02,2.097051313375685455e-01,5.529323067056140151e-05,3.158680684248506287e-02,7.117195863218201768e-04
7.489692680288000462e-04,2.892627767126727090e+00,2.277968757918534537e-02,2.159822469654366570e-02,1.975426881337022100e-01,6.012469960319913917e-05,2.234764877481593484e-02,1.001135617966790155e-03
5.528202619342637578e-04,2.557795522082001671e+00,2.306342348124381519e-02,2.283660206640420604e-02,2.026058658335800622e-01,6.195358978170064463e-05,2.277659325986832947e-02,9.919239190615473760e-04
2.633927981100278701e-04,3.133279544340837663e+00,2.917995273864620182e-02,2.161642659197190314e-02,2.407479012316540712e-01,5.024672455063251749e-05,1.942979924094036595e-02,9.118173422016854872e-04
4.379376376897383132e-04,3.434781458240349306e+00,2.607204704635409862e-02,1.910968980515805396e-02,2.858943879267252242e-01,6.659545468220859983e-05,1.601795440314576768e-02,1.070097906916996251e-03
6.874708831721105607e-04,2.543827916632887209e+00,3.034542370561437233e-02,1.891121517901799345e-02,2.075805536274306640e-01,5.197670946433589044e-05,1.866507229166518289e-02,7.353532593345748700e-04
3.735970810399475198e-04,2.480600169565204904e+00,2.781927873055378697e-02,1.523738914930344336e-02,2.393909311584292987e-01,5.822538817930271297e-05,2.372861766043045731e-02,1.250174082149762634e-03
2.456273124003471257e-04,3.006112712534331877e+00,3.129777903579374770e-02,2.305671015485706229e-02,3.447508851234883931e-01,6.056216612192741252e-05,1.446715043051804116e-02,7.900556953184217739e-04
2.371725545491025597e-04,3.221591356357425884e+00,2.972731465159099765e-02,1.473516820704242301e-02,2.192567484993990234e-01,5.460545633364589560e-05,1.628948635241062731e-02,1.124918756175055656e-03
