# theta,p,s0,sInf,kappa,gamma,y0,yInf
9.488519534497309726e-02,4.475141333118039633e+00,2.155110996040794993e-02,1.633391728260419340e-02,7.134005808369364710e-02,5.752860512468567278e-05,2.133769192398040498e-02,5.371425640492908694e-03
1.015335544490644226e-01,4.383549077617556300e+00,1.985913344200193609e-02,1.693575658692547670e-02,5.927076420517322225e-02,5.599531122134269833e-05,1.954000254482882171e-02,4.784281385062435533e-03
1.015335544490644226e-01,4.383549077617556300e+00,1.985913344200193609e-02,1.693575658692547670e-02,5.927076420517322225e-02,5.599531122134269833e-05,1.954000254482882171e-02,4.784281385062435533e-03
9.951616981124918049e-02,4.392157380514614573e+00,2.033892006506678174e-02,1.708369538961327858e-02,6.140655423301519256e-02,5.775079230157057766e-05,1.981781192892693305e-02,4.756387131830545553e-03
9.951616981124918049e-02,4.392157380514614573e+00,2.033892006506678174e-02,1.708369538961327858e-02,6.140655423301519256e-02,5.775079230157057766e-05,1.981781192892693305e-02,4.756387131830545553e-03
1.002944829683876243e-01,4.473143495030222461e+00,2.007658150926400556e-02,1.740264873112510116e-02,5.933802747371594993e-02,5.746079284325410484e-05,1.966084548558813538e-02,4.773992124265098551e-03
1.021170146913548266e-01,4.599454618892383273e+00,1.982503137938826029e-02,1.811825960132572647e-02,5.891904895165631789e-02,5.849748310198487467e-05,1.962507124060564739e-02,4.862343688569024588e-03
1.096827269604357669e-01,4.594988090194181751e+00,2.005865696227442790e-02,1.782777091617835860e-02,5.927574532951569719e-02,6.081294904171658525e-05,1.931991720421894626e-02,4.905516420730953939e-03
1.022520287195625294e-01,4.281698876687964450e+00,2.037512120442401542e-02,1.704264570017906960e-02,5.611657160550566348e-02,5.136076186132142873e-05,1.821553234130502200e-02,5.389498855829818851e-03
9.578179190182685432e-02,4.502926598481447940e+00,2.046972307419060721e-02,1.836236603552945240e-02,6.352550487404239055e-02,6.157501737273186687e-05,2.027398296676367201e-02,4.775917629818587223e-03
1.032509407078616021e-01,4.495513276289931248e+00,1.995325557823956694e-02,1.806918676594627265e-02,6.142604991753208843e-02,6.039301502661492411e-05,1.979558553005450125e-02,4.877888962971242172e-03
9.589289797228010837e-02,4.436271140228660315e+00,2.000083460662036364e-02,1.698174376946215078e-02,5.792692658515381093e-02,5.538756792894012639e-05,1.958996543680544683e-02,4.997379907599278429e-03
1.033963257758641202e-01,4.542587674047013913e+00,1.980325326453742305e-02,1.852846645412970644e-02,5.501806328751471242e-02,6.086891460762861982e-05,1.866112544283485275e-02,5.230793706415643937e-03
1.123806680299796051e-01,4.594118666017142694e+00,2.068397468833618399e-02,1.582322673714245398e-02,6.086150466105563761e-02,5.501601253199732075e-05,1.963554784071706166e-02,4.876065645631982512e-03
9.612593815672115793e-02,4.582439220403435876e+00,2.016566798246694978e-02,1.716100810687430644e-02,5.145958945412441171e-02,6.058398701006027039e-05,1.820756431014784391e-02,5.279194733725741696e-03
9.963768760473352970e-02,4.549206001162034774e+00,2.065800454608125725e-02,1.800880834638180286e-02,6.279902578027164728e-02,6.369556513814577270e-05,1.984843175160480241e-02,4.843301271708067880e-03
1.038506657677141787e-01,4.500595156629073834e+00,2.053613628140531569e-02,1.670534553750891230e-02,6.337606058598595216e-02,6.502292401874375097e-05,2.027085555798617891e-02,4.718093023605028982e-03
9.599197004696123636e-02,4.640059686006752671e+00,2.081561147721149724e-02,1.608644169624326090e-02,6.263951047615101686e-02,6.030671548133302915e-05,2.014295203061794784e-02,4.794468487919577651e-03
