# theta,p,s0,sInf,kappa,gamma,y0,yInf
1.482859565021901194e-01,3.153037687789419508e+00,3.339955994975565140e-02,8.473714755006807320e-03,9.920517657659452815e-02,4.037214624613578567e-05,2.675275252572680354e-02,5.897426792138077238e-03
1.429857129710808694e-01,3.557793793587293418e+00,3.395746160873475139e-02,8.790317967136761917e-03,9.820915321519886609e-02,4.938285650220726160e-05,2.839114893215235677e-02,5.698113204872468258e-03
1.105540077304545815e-01,2.670917884567795664e+00,2.647422082969035778e-02,9.689881123334052188e-03,8.645067427495679857e-02,4.845840355999653931e-05,2.596619249788137754e-02,4.772266494682816246e-03
1.546163612930878117e-01,2.850281922228353526e+00,2.693917103214292508e-02,9.632099461130793142e-03,8.902635646583510753e-02,4.533403971784469847e-05,2.395383324366958180e-02,4.419108901166672251e-03
1.314830408883694290e-01,2.865184433540441944e+00,3.222933103440111385e-02,7.725401969621106292e-03,9.134524602444889230e-02,4.944447790776684376e-05,2.571103834441711491e-02,5.471643444140670415e-03
1.465463373150598103e-01,3.130919022236873239e+00,2.643851436058274745e-02,1.179038065799510246e-02,1.101622610403555635e-01,4.655319001770174116e-05,2.506937634411979601e-02,6.122146613830180446e-03
1.498218248351214366e-01,3.577006484605557812e+00,2.981910074755657683e-02,9.068131812317262175e-03,9.437309084202208376e-02,3.275911838442918829e-05,2.456396089495322191e-02,5.501240847202831449e-03
1.265068866077203036e-01,3.234852671813301050e+00,2.779036565387197483e-02,6.972720149521454205e-03,7.602088618333120718e-02,4.439909113674208035e-05,2.201127837839006798e-02,3.937897316533147882e-03
1.407927798025991606e-01,3.081738455379703367e+00,2.761541325717419004e-02,1.015925635862471518e-02,9.906488745163545551e-02,4.753072885644449844e-05,2.677067881014352779e-02,6.405228737417242510e-03
1.417008959715064798e-01,2.672329454850996822e+00,3.191549096274478442e-02,7.640047827773030313e-03,8.931829096434369675e-02,6.108972575972351575e-05,1.924725460240822236e-02,6.606206967305862897e-03
1.357111871212702270e-01,2.366286710526084303e+00,3.173720030711114914e-02,1.053717787062492632e-02,1.102520449709814970e-01,6.095194916651679325e-05,2.780191163256327119e-02,6.979564254243590324e-03
1.408212178420384375e-01,2.482676358095466718e+00,3.204353189508027389e-02,9.676521815092565051e-03,1.036373771936510424e-01,5.783980255351587864e-05,2.806202000336343108e-02,6.712781445548318855e-03
1.520920893707976840e-01,3.220428496751068348e+00,2.832798917397566854e-02,9.886369436356063148e-03,9.487436514931048281e-02,4.880552054489960880e-05,2.691492382248300216e-02,6.155129721495867894e-03
1.575979141321639521e-01,3.431536247241961934e+00,3.063045729188750010e-02,9.423341071483381723e-03,9.787811575926479157e-02,4.347587916212252367e-05,2.331921871925060272e-02,6.383166735738200412e-03
1.489561906853321960e-01,2.739707521380026822e+00,2.612490553582369132e-02,7.582555201249093282e-03,6.980710606111606431e-02,4.845879879371905248e-05,1.545386479467968609e-02,6.353561906516816231e-03
1.487928476806361366e-01,3.534314053929343835e+00,2.924206418303525179e-02,9.762972970868697906e-03,9.728149699936515515e-02,4.167423922038907046e-05,2.026565433051533832e-02,6.496267126781543610e-03
1.499607327308260518e-01,3.676233965242950319e+00,3.233201267294188996e-02,8.884203922758772409e-03,9.697283473460165115e-02,5.453794097903190663e-05,2.564567399327795025e-02,5.064174792726699667e-03
1.340692524060856650e-01,3.294673819878784382e+00,3.007557434172629385e-02,8.838673445436795104e-03,9.336648537021050021e-02,5.615237416274104001e-05,2.359930427298221819e-02,5.072402864508767685e-03
1.447462256134036951e-01,2.901942709017717892e+00,3.179003609920437456e-02,9.870029657062826672e-03,1.023115924571861429e-01,5.202074552039281555e-05,2.853371126655421253e-02,6.980224826403557715e-03
1.433994596455947790e-01,2.619411882072502973e+00,3.198781173091468782e-02,7.630523107563082739e-03,9.276294231778697830e-02,3.598691374276309136e-05,2.647703756635300457e-02,4.176252707336888803e-03
1.568255268370430666e-01,2.477404081951617876e+00,2.914325586174149746e-02,8.293541109103113457e-03,8.461740303771574101e-02,5.055568868198796252e-05,1.706508240119133241e-02,5.648239107720745729e-03
1.164737480025319349e-01,3.221150591577806477e+00,3.591753715792685153e-02,6.891289197748120925e-03,8.859822930893435089e-02,5.229369665357510747e-05,2.527366200151721920e-02,4.130763925081797593e-03
