# theta,p,s0,sInf,kappa,gamma,y0,yInf
5.392405147151462658e-02,1.280373379626612573e+00,3.333661722789568738e-02,3.299817104726197881e-02,2.634877628037061159e-01,4.544799203015774820e-05,2.661452004265566634e-02,4.549077094669643113e-03
4.886925535351346189e-02,1.425552870027720687e+00,3.697383956174472158e-02,2.552674189547713898e-02,2.427052719894049193e-01,6.747985080516447532e-05,2.391042010894427541e-02,6.852648544993445584e-03
4.364134043630270299e-02,1.454129225271864057e+00,3.717769110792907422e-02,2.790620370920086565e-02,2.258229035891581582e-01,6.846789890613966191e-05,2.410128179097906914e-02,6.163310387466851975e-03
4.170723874452429009e-02,1.524576056649002309e+00,3.676084687390719641e-02,3.105311789207192835e-02,2.092963561559301466e-01,6.574515856000678719e-05,2.313580371820860362e-02,6.103761367331221079e-03
4.652067807514349840e-02,1.597017395244602289e+00,3.733496490806163803e-02,2.948850883727086383e-02,2.349597202106861182e-01,6.471178080141574865e-05,2.391591603249201489e-02,6.704145431208673699e-03
4.464582324264112362e-02,1.817233709451044232e+00,3.896426710758719991e-02,3.079598093663085678e-02,2.388802225489060627e-01,5.944179620557037624e-05,2.385018690111320727e-02,6.785747667396170406e-03
3.828740637346522008e-02,1.686937769047555102e+00,3.967147027459239084e-02,3.412459719031803868e-02,2.234881534496502564e-01,5.752760182836447390e-05,2.356655359491065596e-02,6.736707448915355174e-03
4.327261343839099161e-02,1.603510088816168411e+00,4.056213956450215735e-02,3.374828886818848767e-02,2.309655862046169628e-01,5.536044827430927948e-05,2.332420239496097586e-02,6.683910224679626838e-03
4.504905356211860029e-02,1.733881241930549377e+00,3.975668226832276136e-02,3.424542318606060148e-02,2.344680032395217717e-01,5.532996030927162862e-05,2.327054717237532835e-02,6.632690635131263668e-03
4.583111381304608156e-02,1.864540367079236871e+00,3.870023042594180479e-02,3.592863922389201436e-02,2.299283762127547204e-01,4.670107772944067395e-05,2.384375666060694135e-02,5.857664656095376218e-03
