# theta,p,s0,sInf,kappa,gamma,y0,yInf
1.871619711493714977e-01,3.040435978114365501e+00,2.491526331508567282e-02,2.241355737851882107e-02,8.500117167201083623e-02,5.433759548691931491e-05,2.346588462976357398e-02,3.381368598682842497e-03
1.872407460255525458e-01,3.186066607049155675e+00,2.632276123026495995e-02,2.019381797511402357e-02,5.848475106111040989e-02,4.747958467091675382e-05,1.941265583328580235e-02,4.571887733269489572e-03
1.860610042825401600e-01,2.677871584144957851e+00,2.549806336598592696e-02,2.212279056415383457e-02,9.377559127858570154e-02,3.463238256885032038e-05,2.348901360567262273e-02,5.569153399342293906e-03
1.932330244305578981e-01,2.620300607522015213e+00,2.388709499348727269e-02,2.326269902435250739e-02,9.206121944053685668e-02,4.362392736422808541e-05,2.226454364528786603e-02,5.835885876819252478e-03
1.900044026226296590e-01,3.103412727450230335e+00,2.761112986180682544e-02,2.103070382144433051e-02,9.350319999551851002e-02,4.647240937520551282e-05,2.596808759399732783e-02,3.488428585437223454e-03
1.858356736689492084e-01,3.219271147018877510e+00,2.667295702688648670e-02,2.057416902162626654e-02,8.856010230132589645e-02,4.543728559962648025e-05,2.643436802746807965e-02,3.352078944032033190e-03
1.938041829830004226e-01,2.625186605902582571e+00,2.437848474503280516e-02,2.233432396325909369e-02,7.554304901386599269e-02,5.194111755884054060e-05,2.086693294123363740e-02,5.166186391184950447e-03
1.913418969039916984e-01,3.133679474619226912e+00,2.544472138789366858e-02,2.045426397412475686e-02,7.963010805111447876e-02,5.056542774097885480e-05,2.505606330943516841e-02,3.481712057490193250e-03
1.929322716413405248e-01,3.128576470198005666e+00,2.435406873015367318e-02,2.383619255584337737e-02,7.393794046334843661e-02,5.397687531555959674e-05,2.222407025578603673e-02,5.475540984708527487e-03
1.869700773125629600e-01,3.011241388935667285e+00,2.492525280204702098e-02,2.211500231898413243e-02,6.818161725818089325e-02,4.980584725433387898e-05,2.138447896140565838e-02,4.156081835980599687e-03
1.915875295377467702e-01,3.066893738159438776e+00,2.491055327691385837e-02,2.403541339757984951e-02,8.154993083799143283e-02,5.697071310127360590e-05,2.174004991158487443e-02,5.555732231306661183e-03
1.896842308990228099e-01,3.023769122131636511e+00,2.411860498170092723e-02,2.402329856090909196e-02,8.452630792673283822e-02,5.658024229519110988e-05,2.300378760246893708e-02,5.974013319413125529e-03
1.928293855843024041e-01,2.825030172392650751e+00,2.460619559936441658e-02,2.413725619128317262e-02,8.367917342353378696e-02,5.709633537049211617e-05,2.181192769539619727e-02,5.293841837487667408e-03
1.928643994196308775e-01,2.798481004194658173e+00,2.334848493823187335e-02,2.322952682628838528e-02,8.504108390172890330e-02,5.184517242162363246e-05,2.332333236531294873e-02,5.491232513383610334e-03
1.947852152279504756e-01,3.074145510943972592e+00,2.585315293533945250e-02,2.085441416425902472e-02,7.791144314497894241e-02,5.711413167697225934e-05,2.262891782955089165e-02,4.008399565443141258e-03
1.925238253934792032e-01,3.326015965890084747e+00,2.797399438695132023e-02,1.987433064809681488e-02,8.276126695556622337e-02,5.823093337736502499e-05,2.331273452098371612e-02,3.747288659768389322e-03
1.927480670629147519e-01,3.257540561880204244e+00,2.484189309405419530e-02,2.318956957826604631e-02,8.036324207161307798e-02,5.683307310461753654e-05,2.242907714221126919e-02,5.275684178034197730e-03
1.875876222456660247e-01,2.774608969804598591e+00,2.376663150843718805e-02,2.374525246908547327e-02,7.683466734836817691e-02,3.471777888547401429e-05,2.346508297883961522e-02,4.042682565360726683e-03
1.903704574745845868e-01,2.699159472042714558e+00,2.435917053585320499e-02,2.359229423229058237e-02,7.876398171879407661e-02,2.766624804519948475e-05,2.188782576405196717e-02,4.188242922896949841e-03
1.940797215005241605e-01,2.668696728648695338e+00,2.377525758661346716e-02,2.318582157131928237e-02,7.574937100205529628e-02,5.458450958469152596e-05,2.176265893051384029e-02,5.023635490669643190e-03
1.941212780212840383e-01,3.048686930672494633e+00,2.369132468401908415e-02,2.350332234688987457e-02,7.027730034685414351e-02,5.086367993376494836e-05,2.158412855809143521e-02,5.361987629437570124e-03
1.933182641853451178e-01,3.064891299559311832e+00,2.564799217268363615e-02,2.236618745510879011e-02,8.299842400775253592e-02,6.038236019793770539e-05,2.237320117834791511e-02,4.859737762570174799e-03
1.927731471869419955e-01,3.201843069804212405e+00,2.536999851875440873e-02,2.349666359545576552e-02,9.431718464796751134e-02,4.886044242404675574e-05,2.383453323905657811e-02,5.778993406201184298e-03
