# theta,p,s0,sInf,kappa,gamma,y0,yInf
1.686202543683791855e-01,2.930398044294902249e+00,2.412183189704538919e-02,1.268211797447213636e-02,1.300118383043874226e-01,6.103135452245860292e-05,2.093606233673493341e-02,4.972313916916835767e-03
1.426413161880726033e-01,2.886314874898824545e+00,2.311905533304137172e-02,1.349901434892218123e-02,1.488592667483848997e-01,4.014125293902877221e-05,2.166629018577937577e-02,6.490879262540808284e-03
1.339217612538065039e-01,2.442549061251507947e+00,2.432031445889197216e-02,1.345872918050104901e-02,1.629508449167397233e-01,5.306258225738399846e-05,2.255448601196324843e-02,6.535899974685749174e-03
1.342521634006299536e-01,2.565804285609731838e+00,2.537672685926911989e-02,1.458781177997464130e-02,1.619536482495947671e-01,4.926352078189433307e-05,2.357143724352325775e-02,6.296478808785487685e-03
1.581984642101577077e-01,3.307144446771149493e+00,2.869855046865357057e-02,1.195204534765905054e-02,1.707408775409039736e-01,5.007293912467710340e-05,2.360199876951613387e-02,6.459695544501237174e-03
1.664435359404923542e-01,2.925888637661307801e+00,2.798280886013405216e-02,1.214577628934564689e-02,1.585681652071263825e-01,4.008456552241888995e-05,2.425646042638476135e-02,4.695561110119437012e-03
1.532694918415157537e-01,2.302424731734783236e+00,2.450667539738089068e-02,9.983361599550974463e-03,1.034792372742896205e-01,5.710933646898092372e-05,1.676410236349107699e-02,6.051480503161101900e-03
1.438492503286332713e-01,2.405979414562738228e+00,2.959977112052824752e-02,1.115114510894608599e-02,1.625486844403334630e-01,5.454583154740345175e-05,2.182306060787780888e-02,6.791238846364983962e-03
1.493080309755696611e-01,2.589122280786618102e+00,3.058184416390748173e-02,1.295977969105028410e-02,1.946926674587362294e-01,5.789660278615547240e-05,2.811197665273245869e-02,6.775991433939960659e-03
1.273843068021821567e-01,2.943980362379377880e+00,2.242485507995489388e-02,1.231996623204705335e-02,1.116909699977626236e-01,5.146435289409303745e-05,2.003017954515322677e-02,5.256732342666938299e-03
1.392875950397537421e-01,2.616831896211906816e+00,2.173775826009767542e-02,1.410499118991692842e-02,1.237770059699741521e-01,5.813540901895370089e-05,2.055765772509169850e-02,5.408319184186665893e-03
1.633069847087197379e-01,2.899182239111921078e+00,2.909345962483743386e-02,1.182892254153185795e-02,1.653240861385409655e-01,4.568842526614174619e-05,2.164145389367107958e-02,6.757640119720109348e-03
1.474208384831582619e-01,2.558934822072552961e+00,2.629070334094121136e-02,1.001027694784852734e-02,1.286394977568723341e-01,4.369987653900528839e-05,2.095944482044365120e-02,4.948605372738260413e-03
1.542904028944541428e-01,2.475408718188787827e+00,2.664619811993416271e-02,1.006037308724169917e-02,1.237924814977567206e-01,5.563927807852925891e-05,2.178728393437744451e-02,4.027366644470123207e-03
1.355652858487936541e-01,1.847700998193454236e+00,3.010069039385943057e-02,1.063929603011763703e-02,1.612131225457070771e-01,6.707260548732307847e-05,2.469031528526043767e-02,5.647991998723640890e-03
1.431403303369021274e-01,1.899679903039425133e+00,2.642333120287206419e-02,7.523934909817806514e-03,1.094018252039400396e-01,4.626914124625756963e-05,1.963933059995920730e-02,4.435108979823155009e-03
1.714167183344622591e-01,2.914439679412001105e+00,2.729916925251254373e-02,1.142094695512677408e-02,1.507077938230486358e-01,5.420207565242965409e-05,2.350128132793453950e-02,5.429893442078707715e-03
1.611811554966897930e-01,2.983687263293678171e+00,2.960610562432683390e-02,1.219635709535223274e-02,1.800323939663249218e-01,3.676476957697340486e-05,2.599022188981862588e-02,5.830251530016644125e-03
1.583039575391658182e-01,2.733457938193500691e+00,2.636779006425688660e-02,1.176928023293276858e-02,1.411171204192210316e-01,4.253426013161238685e-05,2.254113155722486939e-02,4.082066623585416457e-03
1.594439140576686953e-01,2.929809412184983586e+00,2.501830491276704413e-02,1.361313606535557649e-02,1.463328591917980870e-01,3.746285385593010154e-05,2.022519283445910893e-02,6.207386465956154370e-03
1.433633062630713662e-01,2.749499409171173525e+00,2.227213235767023028e-02,1.319510771384404049e-02,1.335013235826454647e-01,3.875331359623045163e-05,2.194945360253250030e-02,4.937247692299522039e-03
1.452812926909489710e-01,2.677692075614653611e+00,2.783177666720347554e-02,1.187429519718713987e-02,1.653079094495645829e-01,4.556202802219884137e-05,2.770657427870346426e-02,4.986020615427275843e-03
1.456493244527216069e-01,1.703857299575869844e+00,2.775045435654389936e-02,7.272678430174455387e-03,1.151641591433672784e-01,5.608623286379284191e-05,1.968131373340186244e-02,4.775646594938193039e-03
1.515430376043105654e-01,2.748064221685800668e+00,3.054641467932318888e-02,1.082305987707641616e-02,1.690744186011033101e-01,3.831580484961797755e-05,2.496616845332210594e-02,5.673544559355297306e-03
1.493052706861218992e-01,2.944612416362903939e+00,2.644970317444374913e-02,1.228946973050662993e-02,1.557837509444549573e-01,4.389107505205641781e-05,2.264190321836785300e-02,6.150165804639625734e-03
1.509647073757365843e-01,2.335729356235558996e+00,2.057244274603332868e-02,1.252265715834800612e-02,8.902139994344818175e-02,4.813128054185818064e-05,1.789696335363881452e-02,4.420892832353098822e-03
1.769481340376087564e-01,2.954947841294172317e+00,2.805776885194109435e-02,1.143713875506281730e-02,1.591123916332442823e-01,4.792909236788471137e-05,2.382892713263977391e-02,5.849003768028555872e-03
1.598543179727092423e-01,3.064334475867678265e+00,2.373781266529987125e-02,1.124999864218829797e-02,1.114908593207867560e-01,5.812452825912988136e-05,1.857570937702103173e-02,5.305036010892953159e-03
1.543299439945454432e-01,2.680079366624950499e+00,2.470035646071126398e-02,1.353909154309307361e-02,1.383337978210820995e-01,5.615555816282076593e-05,2.127601947679180067e-02,5.007793181422595663e-03
1.515551721048490896e-01,3.006824087349158070e+00,2.580488987002615628e-02,1.319021849816240551e-02,1.512152233221951136e-01,4.624342463010785428e-05,2.387927923468149971e-02,5.512640479499827072e-03
1.360363505231118875e-01,2.907060007222368458e+00,2.835293537393653723e-02,1.067925076450523640e-02,1.500763396964252538e-01,5.918067406229226960e-05,2.472045214580613839e-02,5.583105383027274493e-03
1.348019870998762304e-01,3.125309014972229349e+00,3.024474690174521960e-02,1.233205985364546273e-02,1.607890586468219141e-01,6.561339712667275687e-05,2.505069005147788838e-02,5.647663472881286895e-03
1.777758232396972893e-01,2.749744824676855881e+00,2.489801554188470975e-02,1.223831693493114894e-02,1.427142190276835254e-01,3.867735776338990646e-05,2.118782060517015661e-02,5.855131997853158139e-03
1.681794215256313119e-01,2.867433241503362762e+00,2.923575007795829045e-02,1.162902815404345640e-02,1.617920851555316453e-01,5.390431562967239990e-05,2.842810153057020311e-02,3.484996073055193593e-03
1.565427822263247282e-01,3.440380278807207759e+00,3.095225115034749841e-02,1.048995122540588576e-02,1.699193334290331758e-01,3.973992622357705684e-05,2.644215875372258120e-02,5.412887684395382287e-03
1.537326481309544690e-01,2.632146947664018466e+00,2.808688797095963002e-02,1.037371684222103060e-02,1.471259646675184274e-01,4.116018008095114004e-05,2.348027406231851036e-02,5.027709352917897161e-03
1.676687287542713012e-01,3.167738646338147390e+00,2.737205794261634087e-02,1.225948070776170309e-02,1.662404511275253627e-01,5.279444778745015520e-05,2.726224565314249240e-02,5.065528134752121485e-03
1.504801640208041080e-01,2.591294742013630525e+00,2.504413517005413953e-02,1.222972420992026431e-02,1.357828180211683167e-01,4.531704440416118158e-05,1.876533003732577809e-02,6.747188090061721419e-03
1.759141528173760460e-01,2.778773487280690180e+00,2.431074175797842338e-02,1.126210716968099705e-02,1.223437463661311148e-01,6.277615741765278927e-05,2.117225926695312857e-02,4.346308677267791444e-03
1.458990174140317175e-01,2.862387085407537057e+00,2.885039715143328243e-02,9.910301237800218585e-03,1.379487360751945335e-01,5.261274839971857804e-05,2.413696429988989103e-02,3.297665703267357515e-03
1.227254501863540848e-01,2.370594246415886452e+00,2.605921403942230638e-02,1.045650439328460989e-02,1.178648270128892367e-01,5.543146215650598848e-05,1.985344096113672227e-02,5.523660749782280215e-03
1.595237220558189395e-01,2.317126842740075077e+00,2.478893427148377848e-02,1.147190023071044396e-02,1.374924431904852862e-01,3.763605641038329894e-05,2.161534574425345162e-02,4.831799703777363980e-03
1.439348561066502996e-01,2.006509858633506393e+00,2.779376071932206094e-02,1.089765833252493571e-02,1.414196257769376186e-01,5.839163834734926767e-05,2.047465229770574838e-02,5.727736892553629729e-03
1.622820158218241660e-01,2.484388890161599583e+00,2.571009316137358100e-02,1.035540384917146492e-02,1.312374361496998765e-01,4.682044148218577907e-05,2.193337479029491138e-02,4.554133691752435854e-03
1.555611347631833674e-01,2.567329085102273201e+00,2.653558749523132754e-02,1.001882368126007748e-02,1.264767355115225533e-01,5.309532536569001686e-05,1.964074724525360915e-02,4.758728867952824459e-03
1.456258088585613009e-01,1.905847483224841987e+00,2.971407149719070342e-02,1.030705288833399548e-02,1.392725329477294827e-01,7.199839518637332820e-05,2.171267390324971291e-02,5.372607710434096698e-03
1.445024885443953189e-01,1.785010663456638058e+00,2.816422758155757988e-02,1.046508733393417163e-02,1.419090604981754211e-01,5.603269765539917803e-05,2.328028994363824308e-02,4.362288061457175042e-03
1.578707514218643526e-01,2.807667931379723480e+00,3.123675614955628496e-02,6.558719100339224090e-03,1.266492258783586677e-01,5.707010467935529969e-05,2.130789969730201988e-02,4.107505915414384930e-03
1.789437827220014543e-01,1.900061755413029241e+00,2.536729305230045819e-02,1.094174146372375346e-02,1.321876833219315095e-01,5.614958088559135122e-05,2.046101857803875670e-02,4.352535015457121084e-03
1.746762105961084666e-01,3.028770222347900276e+00,2.985879193323115119e-02,1.124405989228343360e-02,1.672701288292723076e-01,3.432650844684507487e-05,2.534133176190401029e-02,4.915098354096652730e-03
1.714123452345898690e-01,2.481930329505944499e+00,2.169978803795750630e-02,1.211558074066163351e-02,1.118248270976063136e-01,3.415944671903971231e-05,1.893249368153977416e-02,4.414907148968354178e-03
1.560388958356364320e-01,2.749685683466233321e+00,2.351491814841864120e-02,1.149124359909163041e-02,1.092667359291370904e-01,3.547454021461202297e-05,1.814541818034774365e-02,4.678054283884590381e-03
1.622641236525743658e-01,2.527501401955848159e+00,3.001793247699719933e-02,9.721725260611855518e-03,1.538407099773146380e-01,5.543498683347049494e-05,2.608768790949820421e-02,4.403605924599584935e-03
