# theta,p,s0,sInf,kappa,gamma,y0,yInf
1.265897736420377173e-01,2.149026217224510482e+00,4.345016701661911368e-02,6.628539390578843706e-03,2.797366639966123447e-01,3.895604294048413325e-05,3.032602728513567741e-02,5.333060673283511119e-03
9.862342038117392906e-02,2.011922164360913090e+00,4.297028051767221718e-02,5.912436056393816780e-03,2.610369325091669856e-01,3.590114983766995509e-05,3.197041390313636045e-02,5.031395923558066967e-03
1.264968348425329903e-01,2.299530603246071170e+00,4.213356241280569181e-02,4.560704807534669836e-03,2.527231508125387105e-01,2.672111812482651352e-05,2.924041500726106899e-02,4.481232641983193959e-03
1.220438428036516171e-01,3.082206980250606243e+00,4.394250650975161515e-02,5.205091506385811119e-03,2.650421567136455048e-01,3.645047802572554178e-05,3.060556912914805944e-02,4.670838394580774378e-03
1.326777295047164573e-01,2.878318306264852300e+00,4.157528316282974729e-02,6.541894221154935865e-03,2.571137726480611785e-01,3.159554036010939177e-05,3.032621856333750365e-02,4.609425729233970412e-03
1.156467741192537119e-01,2.754007226889987781e+00,4.026783259889135658e-02,4.946201542306470460e-03,2.589804761332948346e-01,2.648034325258887271e-05,3.032988099213939151e-02,4.791575853778175069e-03
1.193527480160943982e-01,2.384401968658324211e+00,4.107395500817098005e-02,4.565218943256735967e-03,2.579727679058694267e-01,2.865715844041775818e-05,2.983458326059337112e-02,4.002064559652262522e-03
1.222996544634880889e-01,2.850642595492634435e+00,4.393111981781300246e-02,6.199982968403722379e-03,2.792455809787835475e-01,3.433726652546938531e-05,3.305404925653541298e-02,4.461813189679602124e-03
1.281303820518582270e-01,2.531650669065489634e+00,4.228116269893868878e-02,7.855825112368470739e-03,2.738270445938063569e-01,5.563874646512817902e-05,3.369182279992852941e-02,4.447948625885093064e-03
1.310735127717794213e-01,3.052924781161002521e+00,4.131295221071770718e-02,5.308448370057232586e-03,2.499534142757741662e-01,3.712715169757868492e-05,3.050544394345883203e-02,4.906208577952425945e-03
1.368422125246152032e-01,2.410298614664473149e+00,4.200083933071240005e-02,5.423232798599465256e-03,2.643642600693679179e-01,1.690350784159656868e-05,3.117818914652278894e-02,3.774332001499462047e-03
1.218089990058905392e-01,2.594542505552869915e+00,4.280053176459553549e-02,4.638576388208801200e-03,2.585140802625174872e-01,2.410964226083349136e-05,3.135294722062273443e-02,3.348768250417880239e-03
1.268518493720761087e-01,2.588197646318106671e+00,4.275564006342014861e-02,3.755291888544452002e-03,2.492003000024074488e-01,2.569179114341855707e-05,3.228249601360662357e-02,3.337761069628248332e-03
1.229595507996495557e-01,3.030525505670456088e+00,4.335504816258464039e-02,6.124197255069950031e-03,2.738405997445945705e-01,2.639553766417424759e-05,2.892671242850437807e-02,5.594170732947787404e-03
1.260162958108136666e-01,2.532924476125109958e+00,4.317561969195533866e-02,5.577534768050907907e-03,2.692812962640247498e-01,3.140501157713365584e-05,2.983955033612085278e-02,5.323023723426466812e-03
1.168535687984813415e-01,2.660425718042257692e+00,4.160110340032357329e-02,5.086581689498068624e-03,2.556279868253378829e-01,3.495607740127859196e-05,3.013664777923139373e-02,4.577732070987327283e-03
1.056662884184828149e-01,2.841115553542062688e+00,4.164973481646263437e-02,5.190233194812345768e-03,2.519606010183598199e-01,3.154041507224951310e-05,2.964038190384151936e-02,4.496099299286604976e-03
1.506680522371042497e-01,2.156988843601655326e+00,4.241826346380643542e-02,7.447886087879704298e-03,2.671243677163750996e-01,4.191389565606097177e-05,3.007135687299274107e-02,5.938203761494828536e-03
1.305019174301721707e-01,2.512772564080210991e+00,4.420936562244331958e-02,3.681103247232948763e-03,2.510131430105415062e-01,3.092862003722715429e-05,3.211520216871211614e-02,2.991876114173692286e-03
1.188214872427039437e-01,2.742895360946913552e+00,4.183769244168614176e-02,5.918084224823164097e-03,2.521608934761099818e-01,3.190804808714218523e-05,2.866163967931060347e-02,5.459352984322343033e-03
1.552933790628339139e-01,2.438263349786061962e+00,4.125847226575603266e-02,6.147704222595046925e-03,2.529381617349365508e-01,5.252940990988060001e-05,3.079630058731937584e-02,4.253008697921863493e-03
1.582968295277243087e-01,2.514382117570679753e+00,4.191099005877509109e-02,4.506146711620882817e-03,2.404259942641508441e-01,5.170884580596352321e-05,3.031965810321163995e-02,4.136724595805434980e-03
1.401434302731409398e-01,2.435427065868649876e+00,4.340197438209481701e-02,7.292010488313533517e-03,2.847110173951663548e-01,3.530917923870466546e-05,3.408623231663646114e-02,2.981622844995085800e-03
1.375488685407791345e-01,2.795001544648045400e+00,4.478329124659830712e-02,4.606422250009937873e-03,2.607690387500142259e-01,3.657748388564070242e-05,3.144205209865853085e-02,3.117135538126004305e-03
1.306154584196302371e-01,2.341015001940563778e+00,4.497430469609772080e-02,3.678802068717448512e-03,2.608709695326177913e-01,3.213855084513368335e-05,3.251714174523998024e-02,3.180604637698002113e-03
1.225975464455196368e-01,2.426475137150979400e+00,4.404351257721248608e-02,5.084491257117915511e-03,2.621981172947261962e-01,3.391114416016441813e-05,3.097583886497632874e-02,2.974966212939937713e-03
1.255761522537164054e-01,2.835644815855669520e+00,4.214731045788767949e-02,4.852154053695687669e-03,2.682719376911506526e-01,2.539568624305733055e-05,3.132637894018946295e-02,3.352577757460226734e-03
1.201633660561686884e-01,2.390799883355955835e+00,4.496266177613876536e-02,4.984525393707706260e-03,2.531736862991528780e-01,4.311591207362108611e-05,3.411390406398526198e-02,2.891742450698078781e-03
1.459491457309094742e-01,2.625022390384281756e+00,4.387975473784391095e-02,7.043133764643742453e-03,2.943506305353191244e-01,2.439112679556303638e-05,3.318215626949771319e-02,3.797503080208096925e-03
1.238224663837034778e-01,2.399195818507292799e+00,4.536944616417522974e-02,5.293018320466823246e-03,2.559463050407900231e-01,3.587200363578197439e-05,3.268496871727492176e-02,2.576752990073999210e-03
1.353176237855952813e-01,2.729158640405227043e+00,4.323253699797267174e-02,5.781979946282268280e-03,2.791985113885607772e-01,2.856118585353245725e-05,3.169335657397246570e-02,4.249452137485450025e-03
1.239377338889874891e-01,2.651936481481037333e+00,4.154485302832050531e-02,4.127791222094481273e-03,2.417468183259826597e-01,4.106198153511016647e-05,3.098095946304083720e-02,3.846922907417422901e-03
1.150852111004939948e-01,2.664571111830860151e+00,4.481777339765352641e-02,4.878404967703923317e-03,2.801708024280962772e-01,2.857098916346804276e-05,3.409572472693797596e-02,2.509242018872665653e-03
1.307029265229598669e-01,2.054797362116642656e+00,4.261287024207743163e-02,5.512638153423139037e-03,2.615367264059831887e-01,4.029348293223868884e-05,3.239522759742734237e-02,3.719128049533608916e-03
1.195265555212835645e-01,2.631954816010239728e+00,4.394443070211116742e-02,4.539930474108356921e-03,2.569311560827583496e-01,3.142210764787346263e-05,3.103504619708139303e-02,4.151997278028413813e-03
1.227075879237265327e-01,2.678070083374619603e+00,4.163916875851905730e-02,5.807721595174008232e-03,2.528817046920409095e-01,3.715088896337867308e-05,2.983544901083209216e-02,4.658988320372152610e-03
1.342584189448313148e-01,2.537649798478962992e+00,4.326692360520158209e-02,5.538949761753677106e-03,2.610786135541742214e-01,3.303884251472564656e-05,2.793572480878680694e-02,5.503524639324314065e-03
1.239415611328942429e-01,2.540788355511596652e+00,4.361443205988449479e-02,3.505634283048608951e-03,2.553119993582768088e-01,2.944602589750949459e-05,3.153071801081492459e-02,3.503606804030933233e-03
1.183145741015263208e-01,2.442577014694804038e+00,4.407945566369852325e-02,4.455171470232953228e-03,2.557670406575638378e-01,3.595960963870589695e-05,3.163930099345717978e-02,4.341603982424563878e-03
1.247370218410760456e-01,2.918966690363644645e+00,4.300449139674201310e-02,5.753143037268294846e-03,2.706792799654110793e-01,3.430056971805241813e-05,3.419047440308515401e-02,2.845859772441645431e-03
1.121562949301379009e-01,2.843783483710233817e+00,4.395319478014515779e-02,3.344352837621191680e-03,2.426049565377203232e-01,3.084113705936514412e-05,3.004688633566154898e-02,3.325200780372472749e-03
1.283539588368024509e-01,2.931500348402589218e+00,4.444053344484741319e-02,5.825243169600811607e-03,2.745907399207720978e-01,3.595745213147413447e-05,3.044502693809388733e-02,5.499555832140441344e-03
1.326927903347367987e-01,2.565425754332302688e+00,4.441093000917141487e-02,3.918198097681978298e-03,2.510989059880261443e-01,3.599918581386895596e-05,3.085860734147004986e-02,2.686370460928000185e-03
1.230481921975791482e-01,2.878639092405635314e+00,4.418440422042005378e-02,6.632962067291302798e-03,2.801315825720794850e-01,4.237276803260969213e-05,3.356976508876036158e-02,4.760578962476529584e-03
1.385763638146178811e-01,3.007531872660805128e+00,4.124130254075285273e-02,6.915832157202698137e-03,2.815640493371497910e-01,1.892593144077484715e-05,2.985298824485676378e-02,5.670711210664243149e-03
1.225502804838644461e-01,2.672277001374629091e+00,4.182121738466523797e-02,5.372066724694142363e-03,2.651038695396658040e-01,2.428915568641245578e-05,3.194544795651828306e-02,3.000788225287554130e-03
1.350112393871620020e-01,3.159818473863071464e+00,3.940847304769592302e-02,6.338184351567644099e-03,2.609615957589224156e-01,2.357212529090731550e-05,2.888011525047791753e-02,5.645546844023009020e-03
1.540548891219452321e-01,2.663687175952022645e+00,4.486741167435617794e-02,3.763340228326384276e-03,2.446268939832019484e-01,4.350084063915558304e-05,2.965735743626819396e-02,3.066269257739864112e-03
1.245088375604346542e-01,2.413685550005682856e+00,4.493710735335122025e-02,5.511605369208845071e-03,2.965891895964828384e-01,1.866263832300085301e-05,3.079664591501778820e-02,5.296087599647634168e-03
1.133555172495702701e-01,2.315583783890039271e+00,4.423230022812024709e-02,5.263536031507236139e-03,2.913679431482675830e-01,1.942534720118806226e-05,3.322342028788159013e-02,5.256691734890855602e-03
