# theta,p,s0,sInf,kappa,gamma,y0,yInf
3.094834571007416477e-02,2.687824501660591725e+00,2.726743142206675824e-02,2.508082151520351841e-02,2.605795160312402992e-01,6.165398125507002408e-05,2.650429330524523008e-02,5.638419418645457259e-03
4.997355903934547899e-02,3.108393281540807518e+00,3.191275870111454777e-02,2.377930667015291238e-02,2.952174062825668743e-01,6.140578816720624993e-05,2.728684702107389212e-02,6.092573373685155301e-03
3.409560834106380861e-02,2.476226213062633796e+00,3.239485329635711369e-02,3.139817043660772522e-02,2.204822477629881650e-01,4.861905684480610074e-05,2.539247232345881108e-02,3.532912987188789079e-03
4.431550814670744826e-02,2.040729468409878233e+00,3.137369790552052562e-02,1.864101123966436721e-02,2.827209827645800755e-01,5.299346065037662077e-05,2.852741055749262455e-02,4.049164044892953999e-03
5.138625686413211130e-02,3.764968246474404090e+00,2.945056075511113050e-02,2.758046992397162125e-02,3.073472708788242969e-01,6.434796569447012173e-05,2.774151152932607250e-02,6.630915382996876647e-03
3.002653522217818213e-02,3.221923956817197343e+00,3.544447623182609558e-02,2.674367293471704293e-02,2.009373649174473475e-01,4.391528412763203484e-05,2.320843263677912702e-02,4.219616851773083308e-03
5.099645494055900924e-02,2.574335445068521189e+00,2.949047845406671531e-02,2.005580981780649003e-02,2.324987220233938334e-01,4.386551802179785550e-05,2.387884497460059791e-02,4.434207869887791045e-03
4.390282203299869512e-02,2.229685256797642623e+00,2.999152237699220791e-02,2.301949541509304420e-02,2.381417353826855154e-01,4.489886062570149861e-05,2.372687048358669906e-02,4.936620518194496064e-03
4.054198001394430928e-02,3.935641493410929836e+00,3.074615898753785964e-02,2.471909070841530123e-02,2.522766097248479999e-01,5.687336317223732826e-05,2.455586967841239324e-02,6.778493085154958624e-03
3.026377526833052417e-02,3.589888863608414749e+00,3.124615904987868703e-02,2.565148543355245600e-02,1.922791782872050881e-01,3.429521369959444066e-05,2.244828103488737125e-02,4.782725020977336011e-03
5.522746051455411365e-02,2.478854644410956709e+00,2.613955931653643566e-02,1.874019612481245614e-02,2.754017714845788389e-01,5.256211200478944507e-05,2.591499916324508865e-02,5.381382144889775183e-03
4.964338911410242500e-02,3.885757432177396442e+00,3.009052598749511337e-02,2.243965303902432581e-02,2.839722225308633496e-01,5.321595483401125995e-05,2.558494149372156704e-02,6.580598685204032405e-03
3.601777010217503683e-02,3.684001589399036991e+00,2.771930243401870761e-02,2.711336228565355833e-02,1.835570976873785454e-01,4.858265284633747925e-05,2.172112489733094010e-02,5.236558562191266294e-03
2.976353731951950077e-02,2.747558007227275834e+00,3.535801839571742211e-02,3.083949939675883004e-02,1.646281247536802717e-01,3.768894860783808228e-05,2.102226928685653126e-02,4.758322776285744612e-03
4.386556036830970007e-02,3.674083753133100316e+00,3.213452025458749667e-02,2.716403816153437761e-02,2.784742752993836223e-01,4.748261501751767751e-05,2.555716041057792473e-02,6.657469374613729854e-03
3.284066948169651196e-02,2.612396173364958329e+00,3.524333800836568220e-02,3.132857253394666364e-02,1.903672893120092191e-01,4.987796272419311408e-05,2.256502324715869631e-02,4.348181307939549302e-03
3.693833265746761935e-02,3.675492129463965973e+00,3.038167175448637514e-02,2.248498521741965420e-02,2.839953308110796937e-01,5.939385611863712218e-05,2.610033045509774566e-02,6.858836123989979841e-03
2.897660185439565952e-02,2.524237481794310511e+00,3.287164825590326717e-02,2.541452928978337952e-02,1.691308555455333096e-01,5.019565715695892554e-05,2.189793838694804179e-02,3.559360268031289999e-03
2.738690807353202916e-02,3.195382221439148296e+00,3.541729384819406606e-02,2.893573965369539147e-02,1.976975231834948166e-01,4.304773600638635365e-05,2.310119393837218107e-02,3.647174417361913248e-03
3.896060385735777842e-02,2.993441142827096613e+00,2.788120329438132511e-02,2.433475483630939337e-02,2.216379595499914368e-01,5.219453800415866789e-05,2.227931553247269880e-02,6.774233692733533027e-03
3.086670922395712627e-02,3.150812092806536846e+00,3.167160038454914367e-02,2.503710507691965167e-02,2.137720844804606168e-01,4.939193973742536317e-05,2.501676854445458384e-02,3.590759294107397515e-03
3.326944682119735430e-02,2.332869982802056263e+00,3.577365919743514394e-02,2.043538852802796735e-02,1.646805582624293052e-01,4.922726442816929707e-05,2.114128903639984902e-02,4.678607085740326722e-03
4.031711296374865944e-02,2.801073689253623211e+00,3.199063334296277372e-02,2.958213667648592823e-02,2.509987447171254105e-01,5.401180916926858551e-05,2.647679459571550264e-02,4.464514079806085507e-03
5.504617129043005985e-02,3.548517999610742546e+00,3.130976678264942026e-02,1.975657710685875534e-02,3.112963412593751644e-01,6.049332064472135757e-05,2.658486899421369856e-02,7.082908294136710387e-03
3.368262618744307518e-02,3.034162460483978752e+00,2.567911150386391686e-02,2.517515495880451315e-02,2.052000503789777053e-01,6.280264421993173995e-05,2.334748626066979540e-02,5.083133700774763834e-03
4.725825145015723205e-02,3.675507801009930020e+00,3.065001522811936288e-02,2.111945429721268780e-02,2.993141642282189929e-01,5.479339765756236451e-05,2.649816698584907607e-02,6.999104628713437130e-03
4.866958693915496292e-02,3.448943576627550467e+00,3.174449025435750749e-02,1.791960215514699917e-02,3.153005843294035548e-01,5.446465971253363080e-05,2.725424322142701306e-02,7.017355871830171718e-03
3.217397437669895083e-02,1.961590693214157577e+00,2.945155475412596438e-02,2.266562130945056971e-02,2.032390907244153722e-01,4.351161267562140856e-05,2.358533571789854510e-02,4.799499273906155175e-03
4.625171754326749124e-02,3.765409140290373102e+00,3.106727531727716471e-02,2.655806485678881973e-02,2.938749917680229529e-01,5.283312903124266123e-05,2.684685263525879440e-02,6.582972515979020230e-03
4.955270304782657953e-02,3.302095162100762593e+00,3.224751594641884350e-02,2.052318860891230723e-02,3.102315447847960872e-01,5.079013048901426074e-05,2.699992855773023295e-02,6.532029446309366161e-03
6.238108123878319949e-02,3.475219036655959215e+00,2.736364220673807857e-02,2.380461344110772898e-02,2.979526608365978269e-01,5.925469379699974229e-05,2.639466517824635983e-02,6.098077705881876746e-03
3.770517899699114134e-02,2.596560836193515076e+00,2.879465987808868185e-02,1.991294231200794324e-02,2.329067825363033972e-01,4.063439037082329709e-05,2.490485818274499122e-02,4.100145946793344598e-03
5.346273358069810605e-02,3.478129055538845105e+00,3.081257924665847109e-02,2.728629838029109078e-02,3.085492216459339576e-01,6.974872709868621529e-05,2.876476295944565761e-02,5.810561727621344798e-03
5.071396667749343556e-02,3.332446120192380956e+00,3.225851511159131407e-02,2.700209681405575310e-02,3.155722096889827522e-01,6.871188643422567746e-05,2.952743723543516108e-02,5.663338385170677003e-03
6.648155180342300852e-02,3.627585993258756858e+00,3.016404066976497572e-02,2.363066969795572791e-02,2.997821986165253860e-01,6.546506897629445442e-05,2.593816190534458180e-02,6.835412561271968050e-03
3.348750946015509322e-02,2.776399145814407277e+00,2.463480408910813033e-02,2.043782859704279878e-02,2.055628863930325512e-01,5.163708290411260504e-05,2.227930500865454508e-02,6.423708519418074719e-03
4.434533822176942031e-02,1.929293760650533374e+00,2.263014584376921851e-02,2.181946195878968486e-02,1.862069195788189635e-01,3.910508388249343901e-05,2.116389676678210111e-02,5.671358515627173379e-03
