# theta,p,s0,sInf,kappa,gamma,y0,yInf
1.008196729403919578e-01,2.831103995511914384e+00,3.424755114993178334e-02,1.280789660591219632e-02,2.175413611430201677e-01,5.270899334436962748e-05,2.674599262805953115e-02,5.661656833817845652e-03
1.489462904122909603e-01,3.187690181926999600e+00,3.562263497358592740e-02,1.202626797171136436e-02,2.315747075652906661e-01,4.832855928613878632e-05,3.058361017543034799e-02,4.039693250573253569e-03
1.553104748516169198e-01,3.227941865045941050e+00,3.219568726209391663e-02,1.226253495200696139e-02,2.043901870095119200e-01,4.721536351033877449e-05,2.543936239567126667e-02,3.761285541295582204e-03
1.297000100775909104e-01,3.068861447388813168e+00,2.879488610027651843e-02,1.423280296074956076e-02,2.086761703575898685e-01,4.755242893664260125e-05,2.650620798985855661e-02,4.058195858440458159e-03
1.586724465423912378e-01,2.880777539339459903e+00,2.743780969404219228e-02,1.104012571092099181e-02,1.679089583330816704e-01,4.253090329250871799e-05,2.166289360215956430e-02,3.960852624525144222e-03
1.752952009194383709e-01,3.478401018076537010e+00,3.589525530875294773e-02,1.260896703680960788e-02,2.557347758633397028e-01,5.082079415839673656e-05,3.071798116165167652e-02,5.055237599934376234e-03
1.319623673506333528e-01,3.332608939665905545e+00,3.095588385067729945e-02,1.416831033556204163e-02,2.260895393831573730e-01,6.548758927394969585e-05,2.622460866891690098e-02,6.268739663090012321e-03
1.565229344063359118e-01,2.939373632856006946e+00,3.271092886877120104e-02,1.336547668944171319e-02,2.379341581291980756e-01,4.019539113662107482e-05,2.784899082653043492e-02,4.840719775872415198e-03
1.261388365909494047e-01,3.449562014077535377e+00,2.699909817722623284e-02,1.168284533818525310e-02,1.500241220140944298e-01,5.364922125539596347e-05,2.148812438646616543e-02,3.948802889673899176e-03
1.600599822165225949e-01,3.272930046974436902e+00,3.208541989923787557e-02,1.452030677123491292e-02,2.659568096775722923e-01,5.519070083715416460e-05,3.182075967655689785e-02,5.993554698587358863e-03
1.446221903122563157e-01,3.657136338267199527e+00,3.418984123786759227e-02,1.102588615312959444e-02,2.192273938223172347e-01,4.266436263406506646e-05,2.901377114054728285e-02,3.684607649837544786e-03
1.604931811399920027e-01,3.005787618632435709e+00,3.679608718858632527e-02,1.358834185306944005e-02,2.840317637800975348e-01,3.866053194668191308e-05,3.486252195558810218e-02,5.580974993419312788e-03
