# theta,p,s0,sInf,kappa,gamma,y0,yInf
1.948167191847955948e-01,2.262713963079139745e+00,3.606089200133697631e-02,6.937994578700565178e-03,1.159077476029844456e-01,5.434409032552816471e-05,2.193812209271949268e-02,6.066909561957074294e-03
1.218440564590902025e-01,3.022039987662070715e+00,2.961707587844368897e-02,1.077671615348788428e-02,1.133409955739117236e-01,4.739689417034296447e-05,2.470249342378395829e-02,4.990234893233854579e-03
1.943342833185745799e-01,3.094914476866581943e+00,3.974315748395958886e-02,7.874610012405877310e-03,1.302788798673615855e-01,4.871519022953277941e-05,2.974084099783879873e-02,4.685762724077490241e-03
1.911215532011159846e-01,2.315932958129319541e+00,4.179833994222022925e-02,6.966932293240803500e-03,1.278428204401182156e-01,5.051382906614661558e-05,2.919944075844412706e-02,4.981321145894180777e-03
1.346785744398284190e-01,3.372439316085024341e+00,3.146704753005319377e-02,9.045574126440638144e-03,1.120629446466334667e-01,5.746925175449087229e-05,2.419926165764894194e-02,5.013102275671895217e-03
1.950508282168782193e-01,1.866072787908516828e+00,4.185002803727250892e-02,8.081119833161632890e-03,1.343697726971077588e-01,4.268966255435841358e-05,2.404989836876857828e-02,6.354111905346838257e-03
1.893478096876957673e-01,1.699682568944255623e+00,3.227425732759089949e-02,8.605146607843935924e-03,1.132856835122562772e-01,5.058211021430059480e-05,2.055793633430709130e-02,5.421997688966389596e-03
1.193980552554541885e-01,3.133125081423044911e+00,2.652964430588250141e-02,1.324163232202925367e-02,1.122101831568501629e-01,3.876357529941069793e-05,2.440038000383997971e-02,4.889301896217274415e-03
1.938175966393747285e-01,2.419688578958426373e+00,3.389229337111597518e-02,8.689631035367094414e-03,1.196486815669501047e-01,5.392897149920800748e-05,1.928913833171314388e-02,6.561958116121029139e-03
1.877887382806847083e-01,2.307452962570752497e+00,3.800752384184181987e-02,6.893839983618757321e-03,1.187054053882004162e-01,5.238207874307723835e-05,2.432236215414600514e-02,5.411357184215055856e-03
1.904342210899740706e-01,2.396213155392631577e+00,3.570737659160676258e-02,9.550975404833798171e-03,1.371184883589206260e-01,4.021748158529280778e-05,3.288148289804768837e-02,4.616650102993430545e-03
1.832221671881675562e-01,2.007928601705804006e+00,3.727404275726330790e-02,7.704339776047040150e-03,1.161458231253740259e-01,6.272556609333245468e-05,1.896074942437774025e-02,6.396315139604489067e-03
1.884220687872102951e-01,2.173772812647300601e+00,3.608769493255083172e-02,1.086161674829387754e-02,1.525904534850653083e-01,3.991844638680436453e-05,2.788206464201375273e-02,7.164653722690993848e-03
1.902463046974371408e-01,2.279662183525840824e+00,3.846320681264468744e-02,8.748736646829104180e-03,1.343903786285880475e-01,4.146145867117549157e-05,3.313193751312873414e-02,4.030907122254629403e-03
1.957331791316229974e-01,1.745222874623309384e+00,4.079728226470872438e-02,7.552005077373368652e-03,1.255369413387369959e-01,5.811670259342890867e-05,2.334882637009251874e-02,5.668132006956745281e-03
1.339117840996820741e-01,3.283303036590282886e+00,2.935808901007324473e-02,1.039967456967277187e-02,1.151395253016680859e-01,3.806047075065344278e-05,2.485380634358903829e-02,5.112830238318649169e-03
1.884932345038106138e-01,2.041949717727420399e+00,3.862565471744620893e-02,9.403609379472909965e-03,1.360848889675168871e-01,4.555768450852105674e-05,2.936299757098537189e-02,5.193687438238820883e-03
1.933585089168798621e-01,2.225878526438076488e+00,3.676600528525401229e-02,1.067180375320946409e-02,1.556854221825146600e-01,3.442677065826733006e-05,3.171797182967561746e-02,6.495274414941811479e-03
1.941317015125547385e-01,2.557724001528675739e+00,3.944029695934541530e-02,7.907544231941216958e-03,1.319271977605051549e-01,3.603024022154924190e-05,3.194447967757594459e-02,4.348433550275870516e-03
1.917590288012225586e-01,2.318043504179324810e+00,3.485354786060910343e-02,1.185383497363744383e-02,1.495723183831113023e-01,3.533232491481713781e-05,3.097592928062954318e-02,6.029242389325242812e-03
1.165597847673320864e-01,3.351254055388905417e+00,2.735887951950098304e-02,1.246219548678607209e-02,1.090315191690569147e-01,4.966717663187545078e-05,2.379163548299347009e-02,5.209577356466215878e-03
1.951808720700809185e-01,2.452465259454091218e+00,3.833934959284279742e-02,9.838156737353149703e-03,1.422969624177138903e-01,5.722083985433208030e-05,3.146653202381535785e-02,5.470778859914851924e-03
1.919335896188861523e-01,2.699842257685926228e+00,3.927667381021830717e-02,6.767181238366182412e-03,1.218095149549382195e-01,3.353187043963758537e-05,2.955546451648632250e-02,3.683913507930185790e-03
1.383036623949469301e-01,2.947972764765169895e+00,2.763386338796561606e-02,1.083085120683101484e-02,1.144825863738933303e-01,4.813884513881780760e-05,2.311784308632916507e-02,5.689364117933152533e-03
1.926808142660890455e-01,2.512368429491432575e+00,4.328266118013668340e-02,8.425953934464670489e-03,1.360981256549704255e-01,6.013188307661036878e-05,2.700600405880744861e-02,6.194669118448711646e-03
1.924111950234792534e-01,2.772028640338778160e+00,4.093621230817856560e-02,7.047137920898438428e-03,1.285921955187561971e-01,2.837533673852124809e-05,3.065785102233033882e-02,4.023919136669962607e-03
1.949415883788844506e-01,2.355834527976234938e+00,3.694698640693255820e-02,1.044806549546991627e-02,1.422084353837753667e-01,4.265516025575512207e-05,2.973754086717252110e-02,5.983328766304759662e-03
1.942598620004841736e-01,2.067854590055199449e+00,3.722136827686327309e-02,1.012629612385313425e-02,1.446258792749814115e-01,3.960946578211816337e-05,2.787410817153916642e-02,6.110736710720359594e-03
1.927745049145311862e-01,2.320000604964406410e+00,3.614902816234560196e-02,9.863897764962770154e-03,1.374709325860983544e-01,4.579896179245202767e-05,2.770798481761867216e-02,6.055792222676203811e-03
1.932570780220268514e-01,1.474829846679717171e+00,3.633406244156705406e-02,1.000365364662217024e-02,1.437914239643849901e-01,3.757544510123619457e-05,2.909132769671671920e-02,5.853077294295160223e-03
1.906589702163909716e-01,1.965466998806316035e+00,3.660365523047657416e-02,7.205569518853267852e-03,1.184307086219072436e-01,3.509923471830431955e-05,2.652468683511269298e-02,3.909916741780071654e-03
1.874185458086103095e-01,1.697692940841003306e+00,4.171578250739453597e-02,8.768962960943123622e-03,1.355866438083186687e-01,5.409380563816585822e-05,2.429445945382890937e-02,6.651553722212389004e-03
1.899479165442644057e-01,1.388328824875774803e+00,3.287420305586948727e-02,1.154561476257047990e-02,1.401662472174028395e-01,2.917958993779393788e-05,2.794299173162777608e-02,5.319597214624528780e-03
1.037712619556368648e-01,2.910588000302347211e+00,2.541134732999649273e-02,1.530589374576497332e-02,1.073414508538766687e-01,5.112532409377074403e-05,2.097875037740823401e-02,6.014013904878453762e-03
1.143229029754283532e-01,3.048619606510526658e+00,2.921575421059978417e-02,1.006848395797785116e-02,1.054769356236924666e-01,4.715953249426918541e-05,2.247854385658771756e-02,5.397946595222654839e-03
1.952596575798045964e-01,2.784044717382204936e+00,3.411790623339202438e-02,1.100962203696250960e-02,1.405292509846317872e-01,4.321428601990406025e-05,3.076728960818605335e-02,5.177321192875052221e-03
1.166060194257003135e-01,3.430891785188251664e+00,2.596934575504183593e-02,1.051375367132195010e-02,1.009994237187748362e-01,4.258384002914416741e-05,2.293766246545494991e-02,4.996521415285113017e-03
1.943645115347884533e-01,2.274867646305893665e+00,3.933634731878870444e-02,1.165160526311949732e-02,1.624777371208387389e-01,5.766542596144069835e-05,2.836768453019589478e-02,7.100462511629291977e-03
1.136885044768356362e-01,3.499299239003811124e+00,2.658029147197037145e-02,9.217400475763529860e-03,9.836943812629803108e-02,4.924024760850268087e-05,2.299629102756174659e-02,5.165310189435739011e-03
1.221532654152196751e-01,3.607441033164235922e+00,2.751649492367085406e-02,1.027391493540737513e-02,1.070906447378624227e-01,4.700911993238232709e-05,2.359305145363918554e-02,5.001257550632682951e-03
1.886147563361078583e-01,1.822402750194632270e+00,3.868552766541377697e-02,7.689170534353665862e-03,1.264069413251186769e-01,6.090496977549083251e-05,2.104777099634484727e-02,7.041655413006656615e-03
1.287973154113754570e-01,3.057262200563060084e+00,2.536676104264463244e-02,1.235492132286246034e-02,1.036246784484529948e-01,4.788070359171287530e-05,2.297019017134894689e-02,4.644852968876869020e-03
1.404792103244586754e-01,3.265316014590355476e+00,2.444222803564934793e-02,1.128553586266943520e-02,1.003781339362368880e-01,4.950300802813413032e-05,2.286521947435854116e-02,4.369381635419649496e-03
1.234918373088556981e-01,2.781145610754194752e+00,2.579136382631759192e-02,1.067326940466819911e-02,1.008225060386857413e-01,5.130190401433092518e-05,2.381717276306231229e-02,4.536501628878122395e-03
