# theta,p,s0,sInf,kappa,gamma,y0,yInf
1.049588460872071362e-03,2.746068622924255020e+00,3.082732295559739710e-02,2.271202190526420278e-02,2.138450184706907620e-01,4.116872058798744184e-05,2.284645398650136591e-02,7.940024469818068517e-03
1.281819209426566381e-03,2.794665062123926180e+00,3.074780138269437788e-02,1.975969564059260053e-02,2.692141989208471919e-01,4.890767957511005020e-05,8.583180529828961236e-03,7.790408228673002811e-03
6.646614041182395075e-04,2.345488778318232548e+00,3.042014681987442390e-02,2.660374335020967984e-02,2.097113643862511811e-01,4.771440427006038467e-05,1.372806488688891116e-02,7.663634246742885570e-03
1.004407268387563605e-03,2.648783996013676312e+00,2.871487963255481279e-02,1.377289852886366857e-02,2.860738328887570403e-01,3.540727984252876979e-05,1.331185242372287178e-02,7.802643024927265712e-03
8.677900268631571091e-04,2.433417954737005395e+00,2.853474966576773422e-02,2.423133062890093017e-02,2.271571563569186325e-01,5.012598152124450812e-05,2.104362998210101976e-02,7.986551538071918338e-03
1.295300597667017970e-03,2.181294893583860972e+00,3.360892937818494436e-02,1.839006943733444144e-02,2.268720576455297566e-01,4.840862818342633243e-05,2.313513218909824323e-02,7.715613768164594072e-03
1.808925981606877452e-03,1.722252945677204439e+00,2.876385241151535599e-02,2.413156401456539868e-02,2.269499194340704185e-01,3.109445384565750461e-05,1.732713111187396404e-02,7.562885687740691747e-03
9.704053819135523545e-04,2.239564350020022410e+00,3.520160214892972123e-02,1.610121010839233105e-02,2.674585408386449537e-01,3.128823835949279746e-05,1.214426897432203077e-02,7.678972245249714688e-03
9.905258692525940791e-04,2.477919336373294090e+00,3.419977827934810727e-02,1.755644721441712228e-02,2.794096182957907515e-01,3.181207615984958539e-05,1.432638154968065430e-02,7.791790830183831229e-03
1.053630516202844853e-03,2.240490465750268889e+00,2.765549579607966615e-02,2.294796186837498586e-02,2.076204451442822119e-01,3.793790807197380913e-05,1.604160463798473546e-02,7.758646953900519457e-03
1.154943559859550719e-03,2.031729451399056696e+00,3.003933692766977415e-02,1.975959573014244436e-02,2.435964198485154053e-01,4.664114447234059458e-05,1.005739085029219888e-02,7.917585592119056465e-03
6.627614080549594977e-04,2.612400611482703638e+00,3.207618625173500743e-02,2.163654740935814710e-02,2.484265085440094389e-01,5.548504734566323270e-05,1.548769780473450985e-02,8.025725943367107568e-03
9.001353771775778400e-04,2.821627286165051096e+00,3.678760125448180679e-02,1.634303956526629922e-02,1.850284944319757485e-01,4.399807934394580960e-05,1.828120993719873147e-02,8.075874752373092894e-03
6.614770060902601823e-04,3.081586272089726020e+00,3.683216227290526251e-02,1.536058421898131229e-02,1.696728315364606221e-01,4.352816802413642767e-05,2.069520380436131943e-02,7.934045078589555683e-03
1.187439701100862898e-03,2.114328986513370090e+00,3.389981657022989731e-02,2.237447654781872172e-02,2.880770843386062374e-01,5.722080401861549077e-05,1.078095986453264654e-02,8.065473892514002027e-03
1.128251573384594832e-03,2.645726039137433983e+00,3.369270146968873780e-02,1.490810670165519485e-02,2.552215218199844204e-01,5.693907486174399246e-05,1.813588689828516884e-02,7.585228415112161074e-03
1.853665793694618709e-03,2.043016022933555220e+00,2.582704780001807143e-02,2.128145361174388697e-02,2.392316006915791160e-01,4.108245374100983650e-05,1.269796282356065210e-02,7.588768633951679422e-03
9.937353971385862704e-04,2.009302901964212573e+00,2.612623921158288912e-02,2.408085376780066955e-02,2.869650313535390129e-01,4.277084753829202220e-05,1.346681749766617808e-02,7.718480664291135773e-03
9.980592616698677737e-04,2.063552951163843296e+00,3.342537087265985696e-02,2.186536167242059472e-02,2.771201163035025838e-01,4.051676470997699189e-05,1.524282607768682497e-02,7.837759810423018322e-03
1.373492721124766050e-03,2.836807717429382425e+00,3.036662697313585041e-02,1.535742869035540414e-02,1.984250886194709740e-01,5.357027345059386437e-05,1.739245857675412663e-02,8.056675612471003722e-03
8.452002245079384430e-04,2.428881263632643339e+00,2.930045280796223645e-02,2.137064397875684113e-02,2.659372800020565752e-01,3.024103694954305898e-05,2.332422421631774254e-02,8.188805569988055408e-03
9.223284550294385360e-04,2.026524721196716783e+00,3.373112811719961024e-02,1.841908507194501762e-02,2.756827293749924968e-01,3.129950561518161283e-05,1.641095384272555496e-02,7.686592048540894298e-03
1.440186052295833229e-03,2.151115212589104875e+00,3.063011355397028679e-02,2.037602497849282102e-02,2.375936823389279140e-01,3.598738631709724170e-05,1.633446244059689328e-02,7.640102767264578439e-03
1.081434743316077784e-03,1.961709735081983652e+00,2.975057252547174194e-02,2.132744034913910611e-02,2.334011515617057109e-01,4.266281579537255881e-05,1.315387009320049226e-02,7.447762591729723512e-03
1.086955955044902012e-03,1.865865030506401956e+00,2.847624323623865888e-02,1.658585505122488896e-02,2.259899657129409989e-01,5.007850335234427264e-05,2.070144496891835120e-02,7.596477271797646806e-03
7.207922398316657505e-04,2.468827306893776274e+00,2.762772378662656583e-02,1.892955044121068589e-02,2.593412950782281179e-01,3.715664979099331185e-05,1.449757054462763768e-02,8.087887198421557164e-03
1.222968652120002371e-03,2.488403889824307935e+00,4.001108356528441934e-02,1.802072555344075983e-02,2.513517669634579010e-01,3.187579744107633646e-05,2.179735598608463151e-02,7.846345087890102543e-03
1.275056595807522349e-03,2.316938594040526045e+00,3.506434741469181132e-02,1.540780673558571172e-02,3.007539397307546492e-01,3.468327921772789769e-05,1.461150928225331269e-02,7.919823415673446498e-03
1.353249375293095157e-03,3.048925482739028414e+00,3.568928887908544290e-02,1.428231183312653543e-02,2.142523061001335993e-01,3.964779505834659378e-05,1.447367140859283190e-02,7.633550051070558604e-03
7.271706845726806255e-04,2.407235359080577730e+00,4.020570896441193198e-02,1.467543264828671118e-02,2.995187445001044613e-01,3.507549680468425663e-05,2.251385835510103656e-02,7.622190473634340990e-03
