# theta,p,s0,sInf,kappa,gamma,y0,yInf
5.596458371049200381e-02,3.390403434902306223e+00,2.318251552651603292e-02,1.413450002899939786e-02,9.344908887170462475e-02,4.384717125982149841e-05,1.514339759514929384e-02,5.871002709159904576e-03
3.414351841716475877e-02,4.148005133343863449e+00,3.180723295945626916e-02,2.211337929633697477e-02,1.346911535417065486e-01,7.586679768030635165e-05,2.407407753252405191e-02,3.342182715269084812e-03
6.735690247389883312e-02,3.339342138782807279e+00,2.874976689322719658e-02,1.064873036041162797e-02,1.530707796654747210e-01,4.872278764973869068e-05,2.199975657285187583e-02,5.049425855325704107e-03
4.679174749662209226e-02,3.233458984897549016e+00,3.022802602998721222e-02,9.224167596140198100e-03,1.377987966282896437e-01,5.470602237184236255e-05,2.127161858893612117e-02,5.206977242138182554e-03
7.185745617748334757e-02,3.644042639706821518e+00,2.215048001551720921e-02,1.590204432792396289e-02,9.901508491179436544e-02,3.491091524822647376e-05,1.544907735128487822e-02,5.561082121438448017e-03
5.968025179120015067e-02,3.482485863302088980e+00,3.327676778742869740e-02,8.853835068554478938e-03,1.643597284729413355e-01,4.286002222563626836e-05,2.587816415986943924e-02,4.606671031322677641e-03
6.625821222788359777e-02,4.136448383290226793e+00,2.818717070149665688e-02,1.067032221789992325e-02,1.330932499892021614e-01,3.601873588042081456e-05,2.010838920858468507e-02,4.700318367706453164e-03
2.929068124167640008e-02,4.303780298911334512e+00,3.203582770150634196e-02,2.011705774366394708e-02,1.322929289933931496e-01,7.201112865440731684e-05,2.467379448433286784e-02,3.565572258214500922e-03
4.104330026774090368e-02,3.850506164609702520e+00,2.567201213407608110e-02,2.562682377892513616e-02,1.340412813055130714e-01,5.905586484990255227e-05,2.164034450375793006e-02,4.961478877877305640e-03
4.113919458463571183e-02,4.101637570318988679e+00,2.681041025469083072e-02,2.160708930168853473e-02,1.404365984980974758e-01,5.796738553619476173e-05,2.177561064768755716e-02,5.228625108016591097e-03
5.674096292488003956e-02,3.273694243641550816e+00,2.203330263165937178e-02,1.609997913110950904e-02,7.599662983939475813e-02,2.846885107621351102e-05,1.411097455609571817e-02,5.557159368632566196e-03
4.191175614496166907e-02,3.577209070739184149e+00,2.984105149832231782e-02,2.071679518601315939e-02,1.531089210977290838e-01,5.934986291171300834e-05,2.301509911929404406e-02,5.161243770618955187e-03
5.606148105829817513e-02,3.550020908833889433e+00,2.790032079840518847e-02,1.060656946918449306e-02,1.387747542680408397e-01,4.324100223424808676e-05,1.910478271446384990e-02,5.938045104172482574e-03
7.217721005182541061e-02,3.231748802510312490e+00,2.667092633837593596e-02,1.038456762731479119e-02,1.280039852478026541e-01,5.015680349896549514e-05,1.719959714573028250e-02,6.177512994311754047e-03
5.458964041630707392e-02,4.057208729535400238e+00,2.508856882073457958e-02,1.554904254011511659e-02,1.587440121134690019e-01,2.811728123012588945e-05,2.107879582696602083e-02,6.459667829830155646e-03
3.216395863495868923e-02,4.346048306229956637e+00,2.902541541183334059e-02,2.390933694462352155e-02,1.400498317439555496e-01,6.314017816305693453e-05,2.367469657534185951e-02,5.004204685710926352e-03
3.442008227881426796e-02,4.317185547824762715e+00,2.979624505894273509e-02,2.345387861278786304e-02,1.478791788353913117e-01,6.376874882735300695e-05,2.499925187840070298e-02,4.486669109831874919e-03
5.354185983884614253e-02,3.499243972871889596e+00,2.407329174180813242e-02,1.345977836044888291e-02,6.874135442917020389e-02,3.239110877438670997e-05,1.402053513465340538e-02,5.387767714653338147e-03
5.689560097510348857e-02,3.541026081443062079e+00,2.193827591495374832e-02,1.939568079456117922e-02,1.175071185158384768e-01,4.089586867037861708e-05,1.756050193832496553e-02,5.624765069706352989e-03
6.477602871386466121e-02,3.490694622042541884e+00,2.205828214336291032e-02,1.916854811522313365e-02,1.206061521852159063e-01,5.180158148224613682e-05,1.724966777603684567e-02,5.698546117565968759e-03
5.115725099070483894e-02,4.249522387466789120e+00,2.630972060162512643e-02,1.535493099168591495e-02,1.046050975680707790e-01,5.147204150551131272e-05,1.710671820543996011e-02,5.270661155638267301e-03
5.119427414194432230e-02,3.284397568028336156e+00,2.090789122826240340e-02,1.775948215356441470e-02,1.061316669596828466e-01,5.272263800317412345e-05,1.766529461064203499e-02,5.485328800413045991e-03
4.612436282522620890e-02,3.238361998257877072e+00,2.215989494392562806e-02,1.454748215342804157e-02,9.722588887252592293e-02,3.943501309827060762e-05,1.551391716745400239e-02,6.517018823721033513e-03
3.331024007789380736e-02,4.534835411877351063e+00,2.821418928691508954e-02,2.477397414997957806e-02,1.028631646210911993e-01,6.567136027561245931e-05,1.893243892358753913e-02,4.375839404348863711e-03
