# theta,p,s0,sInf,kappa,gamma,y0,yInf
4.154641664054303102e-02,6.678889814219320931e-01,4.093245671543778441e-02,3.732889864199098739e-02,1.971487838326068387e-01,5.664025720422718844e-05,2.326352927233654722e-02,5.321199857482876786e-03
4.063164254821522575e-02,6.271473297182244000e-01,3.991388143358904489e-02,3.765634449607359324e-02,1.837886389627237937e-01,6.382096285245168169e-05,2.274683121857754703e-02,5.225202251520561295e-03
4.080512410281674635e-02,5.278820000267009371e-01,4.052500146618557425e-02,4.004979554051356361e-02,1.987470807464365996e-01,5.837101884943191049e-05,2.352738469242217356e-02,5.131977282716374857e-03
4.154641664054303102e-02,6.678889814219320931e-01,4.093245671543778441e-02,3.732889864199098739e-02,1.971487838326068387e-01,5.664025720422718844e-05,2.326352927233654722e-02,5.321199857482876786e-03
4.140351016575336690e-02,4.999351565118986818e-01,4.051942943793281765e-02,3.935760770174993178e-02,1.982556321941656707e-01,5.863706164541742315e-05,2.335871296096359712e-02,5.142833509851835530e-03
4.154641664054303102e-02,6.678889814219320931e-01,4.093245671543778441e-02,3.732889864199098739e-02,1.971487838326068387e-01,5.664025720422718844e-05,2.326352927233654722e-02,5.321199857482876786e-03
4.166946546549741420e-02,6.479066340650115885e-01,4.058947406400616881e-02,3.770777653462695916e-02,1.976084829029375600e-01,5.708187538947700253e-05,2.318747714165299983e-02,5.335967353928525864e-03
3.867665342155227753e-02,4.333919063201450150e-01,4.062915062107054498e-02,3.964819020324768933e-02,1.825110934958241449e-01,6.300344079327810528e-05,2.282438637228159303e-02,5.196823280091116687e-03
4.050150986826606819e-02,6.654107272512761462e-01,4.133956722483889817e-02,3.797356261757387635e-02,1.910248718460635931e-01,6.009146324991243376e-05,2.285059583162125235e-02,5.432247428625209401e-03
3.853779673447495224e-02,5.057552491420106433e-01,4.111842109327085854e-02,3.871831354807907244e-02,1.891055746543638949e-01,5.977658956169326610e-05,2.319094737607954246e-02,5.354079110526047819e-03
4.032012207133920528e-02,4.947594395591748406e-01,4.048100250352778401e-02,3.912068886271382467e-02,1.949559319788808087e-01,5.553388680184460896e-05,2.332005392223091347e-02,5.223479486353841371e-03
4.029700142096499793e-02,4.218411755076494352e-01,4.220137664090812396e-02,4.007664814757665867e-02,1.990783683026785822e-01,5.808991817631504117e-05,2.337084811635963336e-02,5.355297521698802396e-03
4.029700142096499793e-02,4.218411755076494352e-01,4.220137664090812396e-02,4.007664814757665867e-02,1.990783683026785822e-01,5.808991817631504117e-05,2.337084811635963336e-02,5.355297521698802396e-03
3.974763088493925289e-02,5.201359548731916416e-01,4.152519761523610492e-02,4.003118467589709961e-02,1.988961372918953696e-01,5.908493736882634324e-05,2.356483773484603986e-02,5.319831940989845631e-03
3.324861492604742896e-02,8.671996369797628779e-01,4.303308881439454198e-02,3.841407489928078817e-02,1.191313569018632862e-01,5.575994704988149561e-05,1.973778800509187401e-02,5.561659365609288551e-03
3.241027033136722330e-02,7.620926418228108901e-01,4.325357767215230742e-02,3.886804229104884323e-02,1.132877693379314987e-01,5.694054620180367580e-05,1.955607024847393072e-02,5.630507020248092138e-03
3.721203474960776969e-02,5.619865750351585865e-01,4.047316905191693237e-02,3.666315432297979904e-02,1.617335889269971572e-01,5.393719950876482369e-05,2.153645701985309330e-02,5.387301527486846459e-03
3.617935684711260508e-02,5.645486339954951527e-01,4.009431396843173706e-02,3.743519377009319610e-02,1.589818374169602311e-01,5.608849737236322073e-05,2.161765250602035171e-02,5.376679476320043831e-03
