# theta,p,s0,sInf,kappa,gamma,y0,yInf
1.515238076682519407e-03,1.544286782371988132e+00,3.538779154721905656e-02,2.067335299822595923e-02,2.840150752596108386e-01,5.080438021611283618e-05,3.088696291104965977e-02,1.125412254484281635e-03
6.704165848079091973e-04,1.782190968192378211e+00,3.150011343485405874e-02,1.673652322752155336e-02,2.214752419462041322e-01,4.583263079289513558e-05,2.413608301034062334e-02,9.500422245121145290e-04
5.912036680864587654e-04,1.651390011331738128e+00,2.828258654933538119e-02,1.690139985303215978e-02,2.802163872464969452e-01,3.345368941955472212e-05,2.697794647226147910e-02,1.017371809559240378e-03
4.240652382139603301e-04,1.483871734665638487e+00,2.901294200833097123e-02,2.293412534230343872e-02,2.534666509256209288e-01,3.874707213433556684e-05,2.651764461036991427e-02,9.904946755303271726e-04
5.654940231276198723e-04,1.940063302261877398e+00,2.684578533526094449e-02,2.333486207356976622e-02,2.419631837735214674e-01,3.689184955987466870e-05,2.507077130520761130e-02,1.014802604063768602e-03
1.542307693650027097e-03,1.918630330784114824e+00,3.173273608487698488e-02,1.650182414089147384e-02,2.457666196658082614e-01,4.113838180827473931e-05,2.703227054604158755e-02,8.044503222680631036e-04
9.237197560688778985e-04,2.280134576290754556e+00,3.453237436452664261e-02,1.673474694943992425e-02,2.298178969699002927e-01,4.194558289239723784e-05,2.490134662109558597e-02,8.258077639348453038e-04
6.611215516247664556e-04,2.024718623588514621e+00,3.230514815258153649e-02,1.655739678002939030e-02,2.315255201523332418e-01,4.899901307196158665e-05,2.444814217387504193e-02,9.385116835691506652e-04
6.573718602581296155e-04,2.019311027649930868e+00,3.262534311398569004e-02,2.140348016333414732e-02,2.584811951998637336e-01,4.616189690403743623e-05,1.742480081638903694e-02,8.135025256544182320e-04
4.647512425407120248e-04,1.759504192206063911e+00,3.304570038051669878e-02,1.991295419437179998e-02,3.243515893821771745e-01,3.548537754862357996e-05,3.056754754869816029e-02,1.062327988349095554e-03
4.487948909799841543e-04,1.851355641091711579e+00,3.128439947296345752e-02,1.999343055711897202e-02,3.099002343946166693e-01,3.788226485096811630e-05,3.049334799548759564e-02,9.878784678597699997e-04
3.543113639059150620e-04,2.364200138012792163e+00,3.013122705794044759e-02,1.962998842371602853e-02,2.500862146202922909e-01,4.682529865023209420e-05,2.599266026994980633e-02,1.364284237823000772e-03
5.575760829526976107e-04,1.879404083197764308e+00,3.227283319997145683e-02,1.635790219558148212e-02,2.058468094857260899e-01,5.396970889185530285e-05,2.697656894429959623e-02,9.149630424035289046e-04
4.238902844774667116e-04,1.692857998923918750e+00,3.306584015968486168e-02,1.844160933650542539e-02,2.879003959234140986e-01,5.561909099724063045e-05,1.608403201866918236e-02,9.753649914975195522e-04
6.765182039142746562e-04,2.092639840681771002e+00,3.553552952529488024e-02,1.293555960870349658e-02,2.601696537563752964e-01,4.281087987912799759e-05,2.651457473893888139e-02,9.648043440266957900e-04
7.975160286467511623e-04,2.294926734172839655e+00,3.596144763810588119e-02,1.759182841328831015e-02,2.337938331736396369e-01,4.862197024090100941e-05,2.309233234315297145e-02,6.764987736824429679e-04
4.633211302348213450e-04,2.191511290696572356e+00,3.417252949006634871e-02,1.545156847337176599e-02,1.939133246223991858e-01,5.175420868446575090e-05,2.176924018023483967e-02,6.409536900838580997e-04
5.082381353771385848e-04,2.083981814115950293e+00,3.262856898714976833e-02,1.585377617504511380e-02,2.085719388200867330e-01,4.913708025224235219e-05,2.247981110463423415e-02,6.118235992600846431e-04
6.417692738142185193e-04,1.705150740361084827e+00,3.034975493959145287e-02,1.620837267768084067e-02,2.311304431953275229e-01,4.716744633140783843e-05,2.194307730078301141e-02,7.169889488666250296e-04
