# theta,p,s0,sInf,kappa,gamma,y0,yInf
1.078850176933100619e-01,3.709442932948644245e+00,2.724977862006993171e-02,8.625205825667819209e-03,8.523342662182283036e-02,6.684740068621109063e-05,2.285594498074287884e-02,5.558188501608950054e-03
1.531082995782451217e-01,2.762864447316438543e+00,3.376121160965189771e-02,1.315518677544800889e-02,3.782847618094725139e-01,3.971163177829691395e-05,2.925981277717113957e-02,9.214394381380486970e-03
1.234974701426102689e-01,3.883565366672765418e+00,3.344231896013688532e-02,7.021893091464666108e-03,8.999825308193687423e-02,7.916894552474537097e-05,2.434271426953747014e-02,4.847132040595437258e-03
1.625942404873108871e-01,3.072108369152734220e+00,3.487422250323431866e-02,1.318516323017031831e-02,3.616331843268623669e-01,3.714161015206576941e-05,2.892565569281739177e-02,9.251238062895541375e-03
1.418942218031380154e-01,3.870453276548313948e+00,2.995351659171414591e-02,6.862966759956561080e-03,8.524697652260551650e-02,5.363121485668491552e-05,2.117549775992038155e-02,5.425727342587862573e-03
1.434091930888708177e-01,3.686004268771236436e+00,2.886412201127978513e-02,6.797695216282594564e-03,8.104417256794396729e-02,5.888947778389022191e-05,2.029440704770937853e-02,5.545239954971469508e-03
1.635283365258267951e-01,3.659880703304762672e+00,2.993159435038329069e-02,6.847684142000491810e-03,8.249417826345185889e-02,5.345349896798600657e-05,1.956078152500095868e-02,5.211556629793660800e-03
1.039628791797405916e-01,2.208208273811784306e+00,2.713665671197975152e-02,9.334683694438784124e-03,8.974386672380019192e-02,4.804944544867923822e-05,2.441939833434717336e-02,5.388660702665359903e-03
1.477103385264909030e-01,3.669827227070605602e+00,3.061860362361397414e-02,6.502430182217113809e-03,8.469230364920972420e-02,5.375223927524829285e-05,1.939237173916754167e-02,5.476633946854539067e-03
1.508857032433703615e-01,3.787298207082365309e+00,2.727337948506431201e-02,7.495378972052962017e-03,8.015422844219971532e-02,7.474620616140178499e-05,2.196274544910142498e-02,4.357745734957988240e-03
1.132061928576093002e-01,2.264145912203905375e+00,3.031844841486324230e-02,6.288233306410677056e-03,8.443087978653332493e-02,5.184895018313411463e-05,2.021993449418296729e-02,6.185853926513583574e-03
1.747000679566561021e-01,2.743319605045110521e+00,3.368984320345567995e-02,1.276193570201351705e-02,2.671493821387810885e-01,3.374092436517314215e-05,2.690315983152040402e-02,8.703178989113680500e-03
1.462887102629167879e-01,3.926765333981784956e+00,2.709061145257566153e-02,7.891306649243015961e-03,8.051916312164088263e-02,7.474822635870612185e-05,2.197367114300046234e-02,4.359124527548406680e-03
1.149389008192873290e-01,4.033183319387986465e+00,2.910980913771496828e-02,8.628731440316840876e-03,9.360944769631089624e-02,7.548307542125421191e-05,2.215931342138888205e-02,5.683687310058285237e-03
1.500936018887717438e-01,3.770807046485581626e+00,2.703581575253209343e-02,7.219281268580826118e-03,8.189301786499478264e-02,7.803358918355474442e-05,2.258578070563505708e-02,4.196494457886125982e-03
1.086338765360441300e-01,4.141779861295623810e+00,3.009180103954514282e-02,7.073979934460061618e-03,8.067959296618000542e-02,7.787511472548142976e-05,2.452953933572485715e-02,5.041650813398537712e-03
1.108071165295312077e-01,3.964810356099138122e+00,2.752355943031252819e-02,7.421011767165138634e-03,8.327093697375856363e-02,7.244347583213443407e-05,2.145224923269842959e-02,5.528305606725228936e-03
1.616234194719198547e-01,2.493276245060535246e+00,3.763140080973517709e-02,1.309951523629041686e-02,3.921986092507189769e-01,3.410787850005955356e-05,3.237797158140234138e-02,9.146455997060990578e-03
1.685597100609365073e-01,2.524413889335422212e+00,3.613503399876870359e-02,1.304978812948649064e-02,3.785459920454706806e-01,3.139241118660567942e-05,3.157198458409128661e-02,9.187592086538897210e-03
1.367228068490398407e-01,3.795916054003020346e+00,2.801310304131687454e-02,7.937390895321038559e-03,8.751955410051413808e-02,6.681887866106263330e-05,2.031508078646988846e-02,5.672207579448313407e-03
1.708211644709812793e-01,3.110004253054280632e+00,3.575079921761533525e-02,1.288022757933310163e-02,3.764770518012870437e-01,4.483019742695169531e-05,2.922146912871235319e-02,9.162573891182794472e-03
1.687268638931351539e-01,2.698226827636049929e+00,3.680424127957269975e-02,1.310780130381186855e-02,3.743472343638635791e-01,3.060898586933450159e-05,3.157726213172077495e-02,9.029003772567942634e-03
1.735391511743798743e-01,2.926133132375792645e+00,3.695680815464017638e-02,1.266886839979645442e-02,3.569321410529683325e-01,3.467581503100845857e-05,2.633183552055133950e-02,8.601180492166267746e-03
1.072459092150402499e-01,4.179953714167471190e+00,3.253199434691001618e-02,5.013720984179954702e-03,7.757212629690340977e-02,6.840795045915705475e-05,2.098755183680769618e-02,4.043982638633418503e-03
1.224155461021060459e-01,4.153290960922548791e+00,3.430022833992141945e-02,5.593688868721142203e-03,8.389050339456784189e-02,7.620289885232198667e-05,2.244405042053640095e-02,4.706696762905611744e-03
1.182880553535843871e-01,3.868643325990220649e+00,3.347972114584474301e-02,6.190500336415538478e-03,8.348902208732823793e-02,7.464772043112570424e-05,2.311841957918130824e-02,5.003824540279690376e-03
1.295690404151162156e-01,3.928496022184982728e+00,2.903840827654800144e-02,7.818875419466738558e-03,8.611772007079414315e-02,7.771695691462532374e-05,2.348959576087932682e-02,4.549164956474066254e-03
1.046153773331862241e-01,3.897495928330025006e+00,2.843713596641771896e-02,8.509559841795740626e-03,9.275242682642084735e-02,7.453554120676208106e-05,2.769050599353158407e-02,5.611328450821051125e-03
1.073599146596946607e-01,3.449745884245131400e+00,3.145401789381398194e-02,9.228081741429814203e-03,9.770037675581624836e-02,7.770707877746838770e-05,2.696499063008339636e-02,5.942548926984255603e-03
1.008429213141340680e-01,3.750084742460390252e+00,3.273908045211349621e-02,8.256060468875444508e-03,9.638338949324655458e-02,7.838793204714094404e-05,2.638243682617160552e-02,6.038684632459988787e-03
1.201244057006605748e-01,3.902784005464854822e+00,3.267703000367445237e-02,6.076397898008975215e-03,8.238383068824736699e-02,7.508054361219293200e-05,2.259817515335153446e-02,4.798046827660861109e-03
1.256179317527780226e-01,3.908913130218782950e+00,2.885116678471158838e-02,6.554732237179178821e-03,7.837415901860324274e-02,8.153910813838371151e-05,2.415908978300805240e-02,3.814920845853188563e-03
1.133503924704215154e-01,3.990462329464828262e+00,2.925697804430012899e-02,5.802900699604355075e-03,7.863889621867166391e-02,7.522006530771514277e-05,2.473344616342681643e-02,3.558830848401890647e-03
1.153874804787647923e-01,3.914820981391420762e+00,3.154032551538015622e-02,5.122874186885797120e-03,7.510672167094009644e-02,7.841324699866132055e-05,2.085046076455135747e-02,4.099099101832389021e-03
