# theta,p,s0,sInf,kappa,gamma,y0,yInf
1.178769598410575742e-01,3.527212253251443830e+00,2.357913157060636741e-02,1.240968764449051215e-02,8.323362905817743851e-02,5.324015883537216727e-05,2.156937438136749541e-02,4.855887452841546083e-03
1.130092220763323080e-01,3.510944977872045847e+00,2.255870069107981934e-02,1.223669028650473806e-02,7.808127170507413173e-02,5.535684661961913342e-05,2.118002898706995707e-02,4.838074977865012422e-03
1.783127254744407697e-01,3.961789348004339573e+00,2.477366152058123328e-02,1.213254557972362480e-02,8.602404272748483127e-02,6.720200090489087915e-05,1.860674356901137819e-02,5.079596489563415439e-03
1.142692497424369624e-01,3.669102492352019684e+00,2.145453353608661740e-02,1.315399118383532052e-02,7.819405471650810180e-02,5.213815020966836754e-05,2.059917308931490110e-02,4.746008294828395549e-03
1.096005929549381114e-01,3.622220680038410467e+00,2.133761331721866286e-02,1.361203033377223620e-02,7.959690737489658052e-02,5.300317529669003997e-05,2.081337637303391427e-02,4.645143470440837342e-03
1.211487587463324495e-01,3.424815217614091356e+00,2.176304701653259885e-02,1.306823753304676289e-02,7.971470579474596030e-02,5.000072811653686011e-05,1.981534166705845382e-02,4.733328201229824658e-03
1.209807759157653373e-01,3.495299022562443625e+00,2.145761128311124422e-02,1.297651115092010934e-02,7.805243254379540252e-02,4.914270483105708312e-05,1.931019290113508702e-02,4.789769669775515576e-03
1.149805127535308141e-01,3.295910333663293557e+00,2.224482070196662567e-02,1.331488867073153844e-02,8.492938355027344899e-02,4.911381730025443372e-05,2.081694008816048838e-02,4.775333099223690557e-03
1.231463230888934501e-01,3.519163424312505395e+00,2.244719841849190239e-02,1.262845868435007006e-02,8.428458513878095415e-02,5.055372846124420210e-05,2.093161877843213378e-02,4.929672236974308626e-03
1.748063864860153471e-01,3.991636933334928639e+00,2.176233280101800768e-02,1.353396187409161913e-02,9.229637622857206347e-02,6.884706235274853404e-05,2.159648664341532603e-02,5.334859122747301861e-03
