# theta,p,s0,sInf,kappa,gamma,y0,yInf
4.164264981436045093e-02,2.219269083051087055e+00,3.798400994567286554e-02,2.674387382236950370e-02,2.695277582014832807e-01,5.384405122458779186e-05,3.051420958681477433e-02,4.290967079961809441e-03
4.261505969407826389e-02,2.148922080614835028e+00,2.777998747416229527e-02,2.507349442167268461e-02,2.069669788353233342e-01,3.776778994026483145e-05,2.450412255815257942e-02,4.531093743075297400e-03
5.138826371907074392e-02,2.172711267508685928e+00,3.564332427038884726e-02,2.509228064972841496e-02,2.981019532333193389e-01,4.903389563148818643e-05,3.338451285078100628e-02,3.726051861591514903e-03
3.817357016800246999e-02,2.633670704657250283e+00,3.078247069508032244e-02,2.756554783277927537e-02,2.132101725162838801e-01,5.264003454743091960e-05,2.493608033948935265e-02,5.232086520470758013e-03
3.796663945931076645e-02,2.308248084618204299e+00,3.269126370339974635e-02,2.665364714411835173e-02,2.149814674048768914e-01,5.661374986858391551e-05,2.499366995279728859e-02,5.217917343555845099e-03
3.464061927739341823e-02,2.342766053140452609e+00,3.311599805668302005e-02,2.604572750780416446e-02,2.220819191601798026e-01,5.036805085189976784e-05,2.559082921616286435e-02,5.203468123599356600e-03
4.309015598025894150e-02,2.668873339504803432e+00,2.924556169030404981e-02,2.830074761759893490e-02,2.098057423438257074e-01,5.250918097999580925e-05,2.499139082873918713e-02,4.505254327062869178e-03
3.941014208424345466e-02,2.221113208830387542e+00,2.973384511224253304e-02,2.491604246387419189e-02,2.303268058824365083e-01,5.003514076181515201e-05,2.547498087145763299e-02,5.794385475260619908e-03
3.822644183265688778e-02,2.694901364083035933e+00,3.479578772877654769e-02,2.371466728544913832e-02,2.012926008925322585e-01,3.585205052151266134e-05,2.404975571197751766e-02,4.629690973541209995e-03
4.831128676908377773e-02,2.668135705983566641e+00,3.175881817607536378e-02,2.920050613011023963e-02,2.527833510610227874e-01,5.523414430027593838e-05,2.689242153898172699e-02,5.614910898057346236e-03
4.004847167262429175e-02,2.582293277480223637e+00,3.219081983707126199e-02,2.822874985026976521e-02,2.510423488869418795e-01,5.329721667012732338e-05,2.763193548870651259e-02,5.475291879464633249e-03
4.298108852782524941e-02,2.478062147278933924e+00,3.088813342575478377e-02,2.833090048111897366e-02,2.542860563510592198e-01,5.124606594444919831e-05,2.724651447410028973e-02,5.535429102917331472e-03
5.351057873388753716e-02,2.301369310133313473e+00,3.581589302556010407e-02,2.757176601627251561e-02,3.117465238162824837e-01,4.374118577823824541e-05,3.425187735463017247e-02,3.940507476664121579e-03
2.872827108529215148e-02,2.474991585476445710e+00,3.487798919346456195e-02,2.459711811597569547e-02,1.455258980488691178e-01,3.877614615713180350e-05,2.156947926391100667e-02,3.946493788264914850e-03
4.943934088631498497e-02,2.427404126996607570e+00,3.151646127895423727e-02,2.855923778462023457e-02,2.813431436744736058e-01,4.142114263944379011e-05,2.986646270330212127e-02,4.678327337666650203e-03
3.187059520674401930e-02,2.523496146611488467e+00,3.404901526213854196e-02,2.196658619692339054e-02,1.555398444499864474e-01,3.834015335008306819e-05,2.215119037906514501e-02,3.926954265276809061e-03
5.582949013393535831e-02,2.454337894244190910e+00,3.728709887746822771e-02,2.912148001795897972e-02,3.119890583547124674e-01,4.652292518833361158e-05,3.438914766529982403e-02,3.753940325831300624e-03
2.916212559510912225e-02,2.468181185482182904e+00,3.617299596326141453e-02,2.271388579147652284e-02,1.562747379872709008e-01,4.010273797450748844e-05,2.231480196160312221e-02,3.899939093310084322e-03
5.238039529777713948e-02,2.569918802540168468e+00,3.565697206632334471e-02,2.922880392848430792e-02,3.095887208823174253e-01,5.011950631440695780e-05,3.484074895723818927e-02,3.796537587638027216e-03
4.312240800379829597e-02,2.747004608901784994e+00,2.870933010036596025e-02,2.256098014005173888e-02,2.100944665620357865e-01,4.238595398491419201e-05,2.494848782117611852e-02,4.241999207643482039e-03
2.877678665964156918e-02,2.495541150088402826e+00,3.390064629934347318e-02,2.416718314117714123e-02,1.384192294031166282e-01,3.943375302591920807e-05,2.129329180324704071e-02,3.978172431286460843e-03
4.052429649732493949e-02,2.449754924568814385e+00,2.885809599228665243e-02,2.737271570136224491e-02,2.287126383180191902e-01,4.946714444858309211e-05,2.587782723853987096e-02,5.245333406296325170e-03
3.131397151357911968e-02,2.247546503430531750e+00,3.599083355651049032e-02,2.144155695808088943e-02,1.456047357535039388e-01,4.068968472486081194e-05,2.143521862396379277e-02,3.914298983123227875e-03
3.175336799382746933e-02,2.432842654588022402e+00,3.523166695896540190e-02,2.071178898375285182e-02,1.477981160268335148e-01,3.713528615867266105e-05,2.159758612658238194e-02,3.834883148472586524e-03
2.822649245711808877e-02,2.378902463979274629e+00,3.491140489139148845e-02,2.058349593355843221e-02,1.453454278742231931e-01,3.607491519255071798e-05,2.184413026042497305e-02,3.791794273252946119e-03
5.024994761866091036e-02,2.396821727896371712e+00,3.253933438421048596e-02,2.701036508804706415e-02,2.831072147073842027e-01,4.627998570870301716e-05,3.070484635000687162e-02,4.422252971864065567e-03
2.896466826422220212e-02,2.433438962235404901e+00,3.532154572156232658e-02,2.189630694728063320e-02,1.477672983958997210e-01,3.851102055795500102e-05,2.183473420743221524e-02,3.785930338433730544e-03
2.712129116206273352e-02,2.510183017310414044e+00,3.355428316671148214e-02,2.315152608894748346e-02,1.444558215449011362e-01,3.715801968486054531e-05,2.172925305621567146e-02,3.839374725910458912e-03
3.054483872346147946e-02,2.534226204285264572e+00,3.499487704498399632e-02,2.017462133315992001e-02,1.511098483989625485e-01,3.792370072407568371e-05,2.185621942870593151e-02,3.817836797488581048e-03
3.195899058097195072e-02,2.569148301310439475e+00,3.605615662191939685e-02,2.026278469209934208e-02,1.586318179467779699e-01,3.809711597980517799e-05,2.224771854485386655e-02,3.790485429182806603e-03
4.363740374831014124e-02,1.960457605492983646e+00,3.605733469570492067e-02,2.882223430364383096e-02,2.885009275225598468e-01,4.596378469735346869e-05,3.175303836880204872e-02,4.283376102533468024e-03
3.352268582668337799e-02,2.346479979435799557e+00,3.503126339798037781e-02,1.742323738661189295e-02,1.832304873318018890e-01,5.193450433545209778e-05,2.354151227352094602e-02,4.649937570620750991e-03
3.372484176878656065e-02,2.322236298327054360e+00,3.504868970447199555e-02,1.746073185933090868e-02,1.842098983021134284e-01,5.211691367154151495e-05,2.356867592568170564e-02,4.644827688855495025e-03
4.096078974457090932e-02,2.570777846099800090e+00,3.788342128065160658e-02,3.076096714138707236e-02,2.613572798075383119e-01,5.445074945825609101e-05,2.912945472046674089e-02,4.733435696199141986e-03
3.914592737463589572e-02,3.272757669810680170e+00,3.217426495019409804e-02,2.083207844118885321e-02,2.056721985736260916e-01,3.480019588998560070e-05,2.446837500358922668e-02,4.452702655795303700e-03
3.279865053550204412e-02,3.186068656570645974e+00,3.795488633908605108e-02,1.764161104260354371e-02,1.721043641001737678e-01,2.518101027176295780e-05,2.304669316250683095e-02,3.561665287083598964e-03
3.668831930010181541e-02,2.818932544958707265e+00,3.454057075701708751e-02,2.503100038041458641e-02,2.277482715605805008e-01,5.420578198365479106e-05,2.466749007971300728e-02,6.290280242930411554e-03
3.710643361325206835e-02,2.279719001625345687e+00,3.016071155196028628e-02,1.801724691301645823e-02,2.105209863357172528e-01,4.927675880149920109e-05,2.376878609322239169e-02,6.270291661487507016e-03
3.927585623903554618e-02,2.724397767945688553e+00,3.065732074655085765e-02,1.849778687409455238e-02,2.010002472806342866e-01,5.047057678383253790e-05,2.321441328201627810e-02,6.346182670855297220e-03
2.395211497999232692e-02,1.955594759560384421e+00,3.179027086578853356e-02,2.467926113795145676e-02,1.352630238962810039e-01,5.227463043694811695e-05,2.125461061819205674e-02,4.677694169703354270e-03
3.786075689612085349e-02,2.569503549666407594e+00,3.215801139252429108e-02,2.688130321138942208e-02,2.273200650601293060e-01,4.114827108384712845e-05,2.457630606855334271e-02,6.277258788398572091e-03
3.451789226332997035e-02,1.757848500941190384e+00,3.169832735464232082e-02,2.205116238027488712e-02,2.184552469161590849e-01,4.521773690446585114e-05,2.457215051450096707e-02,5.829019474082170610e-03
3.352577234227305247e-02,2.767112066015676053e+00,3.464120463699865010e-02,2.224356932686177846e-02,2.002287659384590079e-01,2.467900539462101770e-05,2.397802164503583591e-02,4.679261004178155749e-03
3.845044331944733745e-02,2.265848806705503371e+00,3.088786568801920804e-02,2.439571139933734839e-02,2.153656715325022175e-01,4.214275395944360163e-05,2.407360396611534989e-02,5.904219096327075270e-03
3.033132256945583402e-02,1.901587480278180031e+00,3.412318627604653265e-02,2.649836909028525228e-02,1.748710672815544098e-01,5.433966177801457918e-05,2.334692199075301400e-02,4.363194172977510714e-03
3.675228951014635620e-02,3.318432316251479719e+00,3.804467534767815712e-02,2.267807318497291197e-02,2.096693068131658400e-01,2.452793065572400836e-05,2.432609923682638176e-02,4.472025250646410877e-03
3.153644098709090793e-02,2.587799367613566659e+00,3.450772633588116561e-02,2.576967530417459407e-02,1.824466480506065080e-01,2.795704634416593855e-05,2.349137159167260375e-02,3.825300848457664164e-03
3.617044702888849023e-02,3.031556189708167093e+00,3.609029296522996838e-02,2.271879328307337825e-02,2.008938051806953839e-01,2.445672071844004120e-05,2.378778212240552012e-02,4.547930452043052671e-03
3.172711286337279862e-02,2.806701062125127599e+00,3.461286886258949091e-02,2.951435624929314716e-02,1.552753201074965339e-01,6.410903238427771960e-05,2.178291740232889129e-02,4.931028002250161489e-03
3.379666258900726472e-02,2.904995254062693100e+00,3.579038631486259475e-02,2.360326953345788861e-02,1.979781248512059444e-01,2.448872496123353468e-05,2.376397153013784513e-02,4.580236669910469662e-03
3.811719803828449854e-02,2.973702974394127452e+00,3.564249025139450827e-02,2.369417113548196244e-02,2.026888669817627497e-01,2.417948945833697596e-05,2.376763444346953469e-02,4.597092187347879069e-03
3.318987970895095202e-02,2.978016545081229705e+00,3.526917866578787447e-02,2.328453990544039967e-02,2.048902866142530976e-01,2.441714034470887022e-05,2.432667278711209136e-02,4.504053460378017008e-03
2.912595342725274664e-02,2.270178481892104028e+00,3.159129144049338533e-02,2.069397270410138281e-02,1.572732292420903066e-01,3.829161243312962395e-05,2.241103461592413096e-02,3.780769090212885569e-03
3.493211510442516959e-02,3.168885149129774259e+00,3.549796470369687151e-02,2.523173804189477246e-02,2.006556251899321852e-01,2.443539452822141814e-05,2.399283873383882895e-02,4.553995428286202428e-03
4.093553707352110688e-02,2.896619202101233803e+00,3.310879824824837503e-02,2.149738936486833563e-02,2.337674702227832413e-01,3.663523003289150220e-05,2.577065079924329913e-02,5.175178917320053147e-03
3.480599255512174806e-02,3.181692533559577818e+00,3.612626914049271026e-02,2.519840881805281152e-02,2.020743682253074436e-01,2.467174376731860264e-05,2.400004830335238787e-02,4.511223114617407548e-03
2.958480249227139411e-02,2.161781067847558191e+00,3.486428477954431338e-02,2.189398326977012171e-02,1.480753686703960847e-01,3.835170599374133844e-05,2.164238167509487457e-02,3.929652705925826967e-03
3.137079053161256209e-02,2.054592769539290487e+00,3.544086122131108463e-02,2.597695111130883874e-02,2.018818999975406092e-01,5.036060709201621745e-05,2.443770517561174790e-02,5.266290681393001778e-03
3.243799818817671987e-02,2.087837573070012276e+00,3.522929614129376857e-02,2.443405912069630814e-02,2.059072524459040210e-01,4.844018035525951224e-05,2.452741948536391048e-02,5.279269933016529984e-03
2.848649075043718434e-02,2.193310711338710917e+00,3.263808417651075516e-02,2.321176142978687712e-02,1.441778224283143117e-01,3.391686853444552074e-05,2.149458654757228221e-02,4.083230676789351317e-03
3.217340976943465491e-02,2.501235107287316239e+00,3.351130960382331381e-02,2.346054637392499739e-02,1.534384166380882430e-01,3.252983143764483372e-05,2.172091644977502609e-02,4.011706563502380474e-03
3.623542545267358778e-02,2.291568738441978947e+00,3.322535343307337491e-02,2.713369721891754904e-02,2.183538900701473273e-01,5.287622578971433825e-05,2.505133552963762292e-02,5.361643138485363072e-03
4.427412918738530406e-02,2.925163937248012047e+00,2.784313311359984389e-02,2.558950243396686600e-02,2.115185372502244865e-01,5.132324583691515895e-05,2.518162292513402220e-02,4.428793456179026290e-03
4.586950154399797169e-02,2.443416696599405746e+00,3.034636288238835855e-02,2.623457369212664828e-02,2.615746668303792211e-01,3.808563305420160813e-05,2.650778854660880424e-02,6.076357455212478068e-03
3.982614833502960694e-02,2.305462328821273221e+00,3.339140529902104304e-02,2.715718914409660095e-02,2.549254957080672734e-01,5.207374731655807710e-05,2.691346453473542413e-02,6.074402822437157887e-03
3.259483224158633147e-02,2.270447112350363561e+00,3.560841920929815052e-02,2.580806525259915843e-02,2.018636123209296973e-01,6.134312000993505300e-05,2.492450650041039273e-02,4.684205103090204221e-03
2.616649089677238610e-02,2.756060751445765789e+00,3.563817718110169619e-02,2.428751231015598144e-02,1.184624488338271719e-01,3.161455460419985801e-05,2.018766096844811647e-02,4.480661999751020183e-03
2.641626408998049361e-02,2.647559118312362791e+00,3.484708578598442325e-02,2.267270964717833098e-02,1.334242419575442928e-01,3.287470317487380805e-05,2.084863884989644756e-02,4.475304282485184811e-03
3.066098275193099298e-02,3.332367695417151499e+00,3.356773041901602722e-02,2.800071143159175296e-02,1.799436823048105039e-01,2.764797639483036922e-05,2.304585075354822349e-02,4.636136650549163921e-03
