# theta,p,s0,sInf,kappa,gamma,y0,yInf
4.647704897538038060e-02,3.399878046565856682e+00,2.233962283940186047e-02,1.785860758162862230e-02,1.317015248130978811e-01,6.254198405893889175e-05,2.176131564436924529e-02,4.311155135049883277e-03
4.297624139619445061e-02,3.445019820463229632e+00,2.674781424097806212e-02,1.361405604276638356e-02,9.919212518649296595e-02,5.270642862784687930e-05,1.668241584934610292e-02,6.088452620095248860e-03
3.323149370326947127e-02,3.076753099617557830e+00,2.876016796189770006e-02,1.890401389957835354e-02,1.210293105228209820e-01,6.151740292133624308e-05,1.769210549496205015e-02,7.096367928321880431e-03
4.200761204032470858e-02,3.493581699448497613e+00,2.495080093697406298e-02,1.378255903082542706e-02,1.408734041361109635e-01,6.250240179293855267e-05,2.357800508171691012e-02,3.747186177722365910e-03
3.646767233851063578e-02,2.728555246795802969e+00,3.066059461995927771e-02,1.288233164148358707e-02,1.546069198793188770e-01,6.353918717402480369e-05,2.528770222999932732e-02,3.869143061433434096e-03
2.645494833910226259e-02,3.099030355812351978e+00,3.082058111909083756e-02,1.781872171044676656e-02,1.187196293476464604e-01,5.858721425230319546e-05,1.843474441902973396e-02,7.189965792809893674e-03
4.141327689182331545e-02,3.444949496720875803e+00,2.570242641329217176e-02,1.574374485168433466e-02,9.179780463301878690e-02,7.208612083976901860e-05,1.682380049154227550e-02,5.432975979163219733e-03
3.831844227324227720e-02,3.373637214021111497e+00,2.709215180704327777e-02,2.350603385323831590e-02,1.243937673848482944e-01,4.963582409835160675e-05,2.090682789237644640e-02,4.221712745204515144e-03
3.812431589220761224e-02,3.247269324034188109e+00,2.602989980675690651e-02,2.226956369631118496e-02,1.317742374280344297e-01,5.332917911532005292e-05,2.136977834952819011e-02,4.126176637175882865e-03
3.835374857098242801e-02,3.243459845914594464e+00,2.620016436473681862e-02,2.164482577188784826e-02,1.421039552348681012e-01,5.453587764131145784e-05,2.195998179687440668e-02,4.814486475089476206e-03
3.347268211246137021e-02,3.351709814753180083e+00,2.857698864725370311e-02,2.212472391271175232e-02,1.740806134068048905e-01,6.074356093852772796e-05,2.321226108039971953e-02,6.965058176884942991e-03
3.479643409534977777e-02,3.546909716056577011e+00,2.986316551888543516e-02,2.348613251246310304e-02,1.353092600635263654e-01,5.951136300976246087e-05,2.061147865938765464e-02,5.515862406250581634e-03
4.187037303140155736e-02,3.290238286054543604e+00,2.708660132776725266e-02,2.278915660737471094e-02,1.671343727834866955e-01,5.848817056404439439e-05,2.097376743460227858e-02,7.437453124997583584e-03
3.168123329835369900e-02,3.654425039220712712e+00,2.864384721462204242e-02,2.637827459460399468e-02,1.411134999337998741e-01,5.791339078460789924e-05,2.200202238400659344e-02,5.237342469761711167e-03
4.502682618465801700e-02,2.865837583344984729e+00,2.228302492495390710e-02,1.160409388974237808e-02,1.032222982334978778e-01,5.099560433259729306e-05,1.690271445952679086e-02,6.325580696168892417e-03
4.064875617524025403e-02,3.184313488519715740e+00,2.704701683130574658e-02,2.026323151932201902e-02,1.725805207449943035e-01,5.890104850615644554e-05,2.196423629796634761e-02,7.197087434515397203e-03
4.313905940997887767e-02,3.009803120276280719e+00,2.416953084474988966e-02,1.054244432963863040e-02,7.501514189816417544e-02,6.205825375345659601e-05,1.580000159042343338e-02,4.896499686315168229e-03
4.979856013688391952e-02,3.273116450354477180e+00,2.268689732456484823e-02,1.611631764701809341e-02,8.408077396802478287e-02,6.832024375798006501e-05,1.541556912545328367e-02,6.069033647021448291e-03
3.461671679273294749e-02,2.814087089046892309e+00,2.979809008626831471e-02,1.851267531882871270e-02,9.112262405304660806e-02,4.788429286347961969e-05,1.671999606808569766e-02,5.591019904246158009e-03
4.592696904998615215e-02,3.693951184225165996e+00,2.422552976878082631e-02,1.393445854276796972e-02,7.855037364526966381e-02,6.990149689400912739e-05,1.552310482029803720e-02,5.970975101882483246e-03
3.282301142115393033e-02,3.132096845581506361e+00,2.762706183588123365e-02,1.492917086217811565e-02,1.035406082639313274e-01,4.614300913878911970e-05,1.678027024746748391e-02,6.738548594035885173e-03
4.603124003983636442e-02,3.057781628104617511e+00,2.295336745190313180e-02,1.361540869937839793e-02,1.131881976168977733e-01,5.780459800173989377e-05,1.809911369728942065e-02,5.751362389600192700e-03
2.539036711876876962e-02,2.750888366228696924e+00,3.066922871173475076e-02,1.410134648187286698e-02,9.150344520892031430e-02,5.341856906292017450e-05,1.672110488713318688e-02,6.518229932237861075e-03
4.755071775517416555e-02,3.287524350245668803e+00,2.236987107015338261e-02,1.553602856739895455e-02,7.762769824756292347e-02,5.670300814901563084e-05,1.568272508855500860e-02,5.275566927159758453e-03
3.664012268064876371e-02,2.359575848099639384e+00,2.410206063993913100e-02,1.344154797349847441e-02,9.568820673441545688e-02,6.250059327536149707e-05,1.772383753092375211e-02,4.999449276494491792e-03
5.131627064999629007e-02,3.332897278950382791e+00,2.508860593086281385e-02,1.057238740965087999e-02,7.479686469977767094e-02,6.517169978862817094e-05,1.494942450852774184e-02,6.325237930269129137e-03
5.517863865164039650e-02,3.712196328207886697e+00,2.491003260302889280e-02,1.807264615572286640e-02,1.333939086243969008e-01,4.692665411518912857e-05,1.971018505823067188e-02,5.075550250835816381e-03
3.453255128772737131e-02,3.576396989946356797e+00,2.796167785586953919e-02,1.768667378922935893e-02,1.257933951241571313e-01,6.854849418431694394e-05,1.879985081102846997e-02,6.497781588541830071e-03
4.376691033090213817e-02,3.548053538494736259e+00,2.326738597764816535e-02,1.471684921973500509e-02,8.933980566039323445e-02,5.970690010080275767e-05,1.641022644072041153e-02,6.489160289544668517e-03
4.629984614818469235e-02,4.017380160227282282e+00,2.626292350750270704e-02,1.315297417790472698e-02,9.468578505680798341e-02,5.335852491377421016e-05,1.678240166059900146e-02,6.008711065414060366e-03
3.763426313814679375e-02,3.795827451784403284e+00,2.980279093880284710e-02,1.439337813293896547e-02,9.645555493476463960e-02,4.533360757619744370e-05,1.676750655232066983e-02,5.834907654926415471e-03
3.129926899103024907e-02,3.100243516522578791e+00,3.359015045308155062e-02,1.872245797470079715e-02,1.976433023756314356e-01,5.958265601393690486e-05,2.695648875101753703e-02,6.603359083708678495e-03
