# theta,p,s0,sInf,kappa,gamma,y0,yInf
2.164661983455851385e-04,2.575237928413141031e+00,3.123195114393381017e-02,2.581664710455051914e-02,1.537107554493667982e-01,6.392396677921419743e-05,1.541539739285444077e-02,1.448382333822573762e-03
3.063216884048678020e-04,2.652372792936515289e+00,2.834421282563328801e-02,2.433179652882453553e-02,2.609541716867798677e-01,7.493499037752140480e-05,2.167603198794817651e-02,1.535403120896508804e-03
1.516437180243811883e-04,2.322762443989423442e+00,3.166922527076181104e-02,1.519014151188496226e-02,2.065414823062207972e-01,6.057294132250022172e-05,1.990831910493602933e-02,1.957959141095715408e-03
1.513898759380984864e-04,2.210082925328495485e+00,2.709508951870721882e-02,1.533035038141096658e-02,2.864978490646676312e-01,6.446454238409435485e-05,2.260718128933057736e-02,2.102294849379361327e-03
1.861662378494108273e-04,1.899722353645831419e+00,3.080089060604992990e-02,1.332114093663304757e-02,2.239231604515594110e-01,6.065244167814881556e-05,1.921382419297895661e-02,1.649515445062058440e-03
2.548438049784685798e-04,2.498153142981878183e+00,3.276627138106030096e-02,1.908387197095880519e-02,1.688046384282929635e-01,4.699717242309259257e-05,2.922644048231824720e-02,1.405765606469261322e-03
2.846275567899917954e-04,2.288939556653378116e+00,2.926261953302443028e-02,1.946674293467653624e-02,2.113681168302443403e-01,4.914886444258698795e-05,2.717295813925808129e-02,1.309439875826022949e-03
2.999756102841570453e-04,1.590938827809107892e+00,2.759576920196536720e-02,2.609771711876552117e-02,2.594420005498949133e-01,5.917842113239511200e-05,2.538783871036507517e-02,1.546909453234774322e-03
2.009950628852000135e-04,2.379359029904463796e+00,2.743760695282322984e-02,2.274829493620584078e-02,2.235064784219886469e-01,4.628904404642082465e-05,2.134622503657657849e-02,1.561346258787727273e-03
6.363748280982407931e-04,2.680862256540669453e+00,2.523668163146913432e-02,1.334512049512825635e-02,1.987936372369028259e-01,5.494921728464152440e-05,2.199554905471317462e-02,1.366340928815730450e-03
2.985082179529215075e-04,2.328068440793988891e+00,2.430874275033965970e-02,1.822817881615564420e-02,1.787316350146158361e-01,3.894703174693665468e-05,1.747591364242839437e-02,1.748269255584159734e-03
