# theta,p,s0,sInf,kappa,gamma,y0,yInf
1.600651224101361514e-01,2.778377000988215606e+00,3.013923471871083476e-02,1.206899450156596366e-02,1.585126341691781848e-01,4.225212050331871673e-05,2.331822880764900657e-02,5.835701205198651903e-03
1.584222847907093834e-01,3.080115319860687428e+00,2.284146179974691840e-02,1.137139312585940150e-02,1.083382174277253279e-01,6.795818784595853042e-05,1.693712075142728840e-02,5.462588008827943577e-03
1.489449189342755830e-01,3.002390248702437425e+00,3.197407568141118900e-02,7.957874551489425505e-03,1.350285547698896749e-01,3.848236060034378316e-05,2.147106682153736290e-02,5.330851249363717341e-03
1.605028620725496014e-01,3.208702018602757722e+00,2.173754924733416194e-02,9.776076845167199977e-03,9.826659655050973274e-02,7.126185050400916021e-05,1.670435578647879241e-02,5.971794096687514652e-03
1.564298759197340905e-01,2.904466349735403075e+00,3.679627706043947510e-02,6.747080972532895279e-03,1.368349527863780557e-01,4.189148696162122999e-05,1.978101959720927200e-02,6.300055488477281779e-03
1.650188069118889989e-01,2.955647219400730830e+00,2.552991248654004272e-02,1.251735811360430752e-02,1.539328973825221936e-01,5.727071043114787566e-05,1.975326676942761386e-02,6.614389632886314568e-03
1.503406248838676240e-01,1.984142911052439118e+00,2.268161034359066075e-02,1.206912419186645033e-02,1.259535954793134516e-01,5.027286908543084141e-05,1.711214883481488452e-02,5.882991458776839176e-03
1.735810662706477048e-01,2.962593089191747797e+00,2.709458115388582722e-02,1.023876738334418557e-02,1.284254034013143919e-01,6.358352770208509062e-05,1.944618292694331313e-02,5.905078066191307880e-03
1.642663276646858794e-01,3.066868078793136387e+00,3.409436225713804308e-02,8.527322070912951232e-03,1.499908738894351057e-01,4.761325616106917635e-05,2.094316695121865857e-02,6.430728938986226585e-03
1.456431939329428105e-01,2.583943269338923265e+00,2.551362027539006219e-02,1.060037421664910065e-02,1.215080944654147871e-01,5.637891313012448661e-05,1.925987717068748314e-02,5.007514376836981994e-03
1.499447331530109062e-01,3.736603293914353863e+00,2.717882049943749073e-02,1.101266010457318222e-02,1.505798135258947512e-01,6.133591006961184157e-05,2.696997426324240776e-02,5.536598162433585893e-03
1.441114987160032612e-01,2.510213643282845020e+00,3.690571160336962586e-02,9.088596626385033253e-03,1.563748198085354590e-01,4.358413896331950421e-05,2.324600344194907228e-02,6.433710292989468227e-03
1.220708931286610399e-01,3.559991529948467459e+00,3.496455473153620153e-02,1.065310348795460438e-02,1.679039617426019981e-01,5.104987779275729624e-05,2.861548199857037386e-02,6.331501183218877365e-03
