# theta,p,s0,sInf,kappa,gamma,y0,yInf
1.081053593571121435e-01,3.123533152441144267e+00,2.087323850192270361e-02,1.068157011826124589e-02,1.045885615133072405e-01,5.305480407436670426e-05,1.724233925135692028e-02,5.687320937396093089e-03
8.629602542393453868e-02,1.626930088388357953e+00,2.961975255157792836e-02,8.772763992738534869e-03,1.397957548378634118e-01,4.640955604799949021e-05,2.354854893571267996e-02,5.758028441729073563e-03
7.521365538144321461e-02,1.719471806635523015e+00,3.091357029786404031e-02,9.982814533103135865e-03,1.501723239748453398e-01,5.254496739607032485e-05,2.635651969542656195e-02,5.269221037999564580e-03
7.893876159482095256e-02,1.740323718340407000e+00,2.698768037364993044e-02,7.926117205521906670e-03,1.156322522557136495e-01,3.343760622406703796e-05,1.897205491729049565e-02,5.249417560455661193e-03
8.935664534932166725e-02,1.587474405365653984e+00,2.605307068374132853e-02,7.168949941081506974e-03,1.087354995498057142e-01,3.755120901729572686e-05,1.832637076756290714e-02,5.111861084750947241e-03
7.394778133755348926e-02,3.964650605272222794e+00,2.042663038381574772e-02,1.367410199829651417e-02,1.016905085809874931e-01,4.707042878243084119e-05,1.900775352746604877e-02,5.245728713186859245e-03
1.089862544703004144e-01,2.871994378717058538e+00,2.676233203210206038e-02,9.863176104662764107e-03,1.343984710064938803e-01,6.559785344213106854e-05,2.343722459646655279e-02,5.145350477591477574e-03
5.439835800053781367e-02,3.912529499033254421e+00,2.762257696608208177e-02,1.029679969743713813e-02,1.276896130228927506e-01,3.779353457055183494e-05,2.442845272694952816e-02,4.990895891628249932e-03
1.230477849369037147e-01,3.658629319421074833e+00,2.676400798847700796e-02,1.014571369122392944e-02,1.355335183064593496e-01,6.090832765572863991e-05,2.475009130583929323e-02,4.614952662097565432e-03
7.735310634827949339e-02,4.313527595752878696e+00,2.225728715171814559e-02,1.046502221487535800e-02,9.519803499693953175e-02,4.576515967605211118e-05,1.773883319615803672e-02,5.138614068562742838e-03
6.794283253740664164e-02,4.138424155867654441e+00,2.357859586860301324e-02,1.073167490429396270e-02,9.664907198953875955e-02,3.984515447357829949e-05,1.805099615561105500e-02,5.123727250807584566e-03
5.894884880262520749e-02,3.888668948381675872e+00,2.685540710568600983e-02,9.790757254340398327e-03,1.126044378643248772e-01,3.881269694882886302e-05,2.032706496018420531e-02,5.007831740087969989e-03
5.366067409897424395e-02,3.973005120693812842e+00,2.648874073617372635e-02,9.869697927088425318e-03,1.126872930208212414e-01,4.088115780816450255e-05,2.004235636330120238e-02,5.266357491207482831e-03
5.726926264693241175e-02,1.241796504617152630e+00,2.809862853353218420e-02,7.383187836058920268e-03,1.047929872981905874e-01,3.507553296035921395e-05,1.779381246017777349e-02,5.581900457729834820e-03
5.016986602026576869e-02,4.249052353871814347e+00,3.006615733198204216e-02,8.571255618364184356e-03,1.165256076664217127e-01,4.238028264763999103e-05,2.072130897315159134e-02,5.514414779061903998e-03
4.662900127177866533e-02,3.421718594245218181e+00,3.500041146326575425e-02,7.402779906766821308e-03,1.308956866869785129e-01,4.811119287781393401e-05,2.428404085849512548e-02,5.319792487122363550e-03
1.025112340303409031e-01,3.916216349891994852e+00,2.154436563607081342e-02,7.268265049333249607e-03,7.708421332073624177e-02,3.800287304970298647e-05,1.577983321914319670e-02,5.089851612337003423e-03
9.691265632664866625e-02,4.021907694177691006e+00,2.846278959289487084e-02,9.157171071152346575e-03,1.311534562431264095e-01,6.375266957691529796e-05,2.209374624654288077e-02,5.302240311614148278e-03
8.534425523755204135e-02,3.790682731889616353e+00,2.454403373119914619e-02,1.154889005180852364e-02,1.346584846908000510e-01,5.509900890911143364e-05,2.197148967609278275e-02,5.935450912844497141e-03
6.313474539271338171e-02,3.590864051121855027e+00,2.923595825020529684e-02,1.003914260617457671e-02,1.323773076156464779e-01,3.762738115093372884e-05,2.367024212882433074e-02,5.443429597454362522e-03
8.610299771798582413e-02,3.916211056767727516e+00,2.831353072754875730e-02,8.085157511885871298e-03,1.170104019172250598e-01,3.686577464226220119e-05,1.920285490884034510e-02,5.886341356821679638e-03
5.572936629773707351e-02,4.234016426411845835e+00,2.802140032819688473e-02,9.518974595731602428e-03,1.245221504978667737e-01,4.270909874126388412e-05,2.192436472620375512e-02,5.631988613672577262e-03
5.480302373368044905e-02,1.723505892579807686e+00,3.324015750597415775e-02,8.398065336755865945e-03,1.442752288387265380e-01,4.612329473564412646e-05,2.605593043932358244e-02,5.816554662034179035e-03
8.164476028438362454e-02,3.934818632119855941e+00,2.073983152733922808e-02,1.350985095132688218e-02,1.125275023611251868e-01,4.934612340511923106e-05,1.943380156772330294e-02,5.475958637223214687e-03
7.441091007783112721e-02,1.879441549085244745e+00,2.936179149305641334e-02,1.029509273200434651e-02,1.538464370587447339e-01,4.648441298902391725e-05,2.695341231989849609e-02,5.858704275467286303e-03
1.077517745924440468e-01,3.602138380458764999e+00,1.685801369562740445e-02,1.582276607072259297e-02,6.133702099798683111e-02,3.247977566819404817e-05,1.495809914383180832e-02,4.151625005620036488e-03
1.046528571986093947e-01,3.760292306698941989e+00,3.153094281094626777e-02,6.479405856378714183e-03,1.230635146214146408e-01,3.764839188663763182e-05,2.086198643323144974e-02,4.762547313824574621e-03
1.201884098472049273e-01,3.548717259171960237e+00,2.668169430575483697e-02,9.660412877152899092e-03,1.341760017433354657e-01,3.427538649777745356e-05,2.353514420369236596e-02,4.926056608699359851e-03
8.010197363557035322e-02,3.624640254339094536e+00,2.223076743807398531e-02,1.145380649972869633e-02,1.109255320967757752e-01,4.732819385775584851e-05,1.858047900389134602e-02,5.944652738008888299e-03
8.395211630294828475e-02,3.613843241798816219e+00,2.637607036803824023e-02,6.796033541972491127e-03,1.036449185650871324e-01,4.235236080384877680e-05,1.712721462127529334e-02,6.291905513398613099e-03
7.442121822462562097e-02,3.500448440114890314e+00,2.440729981510737431e-02,1.075348143836568626e-02,1.233990110459074752e-01,3.689425229582680451e-05,2.103523798033532857e-02,5.346462367237276789e-03
