x,S0_001T-196C
-1.38778e-17,0
0.000582,261.31
0.00244,300.628
0.00606,315.388
0.013101,337.315
0.020141,359.241
0.026976,376.253
0.033813,392.372
0.041077,409.386
0.048341,426.401
0.055609,441.628
0.063738,455.074
0.075289,474.792
0.085558,491.377
0.097112,509.308
0.108892,521.434
0.118741,533.55
0.123665,539.384
0.132019,547.471
0.142088,556.461
0.150872,564.103
0.159015,570.402
0.166945,575.807
0.172086,580.749
0.180228,587.048
