x,S0_1T25C
-1.38778e-17,0
0.000879,217.537
0.002747,251.048
0.006568,273.404
0.009132,279.225
0.015327,294.446
0.023667,309.68
0.033085,322.686
0.040574,334.342
0.049361,340.197
0.05493,346.035
0.061356,351.878
0.065863,351.903
0.073152,355.517
0.080654,360.026
0.089234,362.307
0.099316,364.15
0.108965,368.224
0.118836,368.726
0.130633,371.472
0.140715,373.315
0.151224,376.5
0.15959,378.334
0.165378,381.493
0.179114,380.676
