x,S3000T100C
-1.38778e-17,0
0.000459,212.621
0.001478,241.661
0.003159,260.431
0.00635,275.189
0.011476,288.171
0.018534,300.718
0.026019,314.606
0.032007,325.36
0.039287,333.888
0.044639,340.618
0.048916,348.682
0.055131,353.183
0.060914,359.022
0.068837,368
0.07742,368.495
0.080839,376.107
0.084045,382.825
0.092406,387.339
0.099049,392.289
0.104858,384.282
0.108917,394.131
0.113405,403.537
0.120709,399.557
0.126484,409.863
0.135281,410.359
0.140199,419.767
0.14901,413.116
0.156494,427.004
0.161639,430.16
0.17002,423.507
0.174732,428.446
0.17944,435.173
0.182882,430.725
0.188676,430.758
0.192312,437.478
0.19703,438.844
0.202387,442.894
0.209245,447.846
0.219754,451.032
0.228975,454.21
0.2324,459.142
0.238836,460.072
0.243128,460.096
0.249978,468.621
0.253416,466.407
0.258788,462.863
0.26285,470.926
0.268203,477.209
0.275068,478.141
0.279998,480.849
0.290295,482.693
