x,S3500T200C
-1.38778e-17,0
0.000915,198.33
0.002371,222.905
0.005344,239.449
0.008116,248.845
0.012835,250.211
0.016471,256.485
0.01817,265.875
0.021154,277.058
0.025452,273.509
0.03017,275.322
0.035085,286.07
0.03915,292.793
0.044088,291.48
0.048373,295.077
0.051141,306.707
0.056492,313.883
0.061865,309.446
0.06615,313.044
0.068926,320.653
0.07256,327.82
0.075773,330.965
0.080717,326.526
0.086505,329.685
0.091431,335.072
0.098719,339.58
0.10386,344.075
0.109653,344.554
0.115659,346.374
0.121228,351.766
0.129811,352.26
0.134091,358.538
0.139022,360.799
0.146318,360.839
0.15275,364.002
0.161546,365.391
0.166899,371.674
0.172255,376.171
0.178253,381.565
0.186624,380.718
0.19048,384.313
0.197119,391.497
0.202487,389.74
0.216864,390.267
0.220932,395.203
0.226285,401.487
0.234227,400.191
0.239366,406.027
0.243003,411.854
0.250513,412.342
0.255234,412.369
0.259938,421.329
0.264448,419.567
0.270461,417.367
0.274742,423.198
0.279884,427.247
0.283967,424.589
0.290192,423.284
0.294686,430.009
0.297681,434.94
0.30197,436.75
0.305409,433.643
0.310565,430.545
0.316776,436.833
0.319771,441.763
0.327502,438.68
0.330714,442.718
0.33437,438.271
