x,S0_001T25C
-1.38778e-17,0
0.000455,214.855
0.001275,235.406
0.003594,257.306
0.006136,274.741
0.012548,288.624
0.018319,300.716
0.027732,316.403
0.036933,330.301
0.045708,342.857
0.053203,351.386
0.063702,359.931
0.070342,366.669
0.082347,372.989
0.089849,377.498
0.099285,380.677
0.110014,381.184
0.113659,382.991
0.121807,386.163
0.129741,389.334
0.13832,391.615
0.146256,393.893
0.159126,396.645
0.168992,399.827
0.18015,399.889
