x,S7000T25C
-1.38778e-17,0
0.000436,224.681
0.002307,257.299
0.00337,262.219
0.005064,274.288
0.007195,282.341
0.012112,292.195
0.017884,303.841
0.023439,316.825
0.026857,325.331
0.031124,338.756
0.034979,342.351
0.040763,348.19
0.043734,365.627
0.045219,374.569
0.049488,387.099
0.055058,392.044
0.063421,395.217
0.068773,401.947
0.073701,405.995
0.078402,416.741
0.088468,427.518
0.095549,427.558
0.1009,435.181
0.106244,445.931
0.114187,444.189
0.120187,449.136
0.128754,457.67
0.144607,472.053
0.151467,476.111
0.159621,476.156
0.165837,480.211
0.172264,485.607
0.179118,492.346
0.184267,493.268
0.189834,499.999
0.199256,510.325
0.209339,512.168
0.215977,519.799
0.223473,527.434
0.229914,525.683
0.235712,523.929
0.241267,536.467
0.248121,543.652
0.253066,538.766
0.258644,539.244
0.265276,550.002
0.271048,561.647
0.277916,561.239
0.282428,558.138
0.28821,564.87
0.294208,570.264
0.304528,560.048
0.315657,575.743
0.321242,573.095
0.326595,578.931
0.328963,575.371
