x,S2000T-196C
-1.38778e-17,0
0.000368,261.309
0.00244,300.628
0.004769,317.168
0.008585,342.203
0.014568,355.637
0.020966,377.113
0.02565,396.793
0.034217,405.775
0.040619,424.571
0.044872,445.142
0.047432,453.196
0.054267,470.208
0.060241,489.002
0.067508,504.23
0.073052,523.021
0.081182,536.467
0.087155,555.26
0.094422,570.488
0.100828,587.498
0.108957,600.943
0.117526,609.031
0.124364,624.257
0.133365,630.56
0.142355,643.118
0.150918,653.886
0.159482,664.654
0.169343,670.069
0.17684,677.258
