x,S2500T25C
-1.38778e-17,0
0.000651,224.683
0.002322,249.259
0.005281,272.95
0.010833,287.721
0.016179,298.024
0.02259,311.907
0.027073,324.439
0.031982,338.76
0.040761,349.083
0.045237,365.188
0.050153,375.489
0.055516,376.413
0.059574,386.709
0.063854,392.986
0.069215,395.25
0.072851,401.523
0.079485,411.387
0.086563,413.214
0.089766,421.718
0.098983,427.13
0.101122,431.162
0.10863,432.544
0.114416,436.596
0.119552,444.219
0.125557,446.039
0.132636,447.418
0.139265,459.962
0.145902,468.04
0.149759,471.188
0.154476,473.448
0.160059,471.692
0.16284,476.174
0.168843,478.888
0.172496,476.675
0.17657,478.038
0.18042,484.759
0.183425,484.776
0.188361,484.357
0.193278,494.211
0.195211,493.329
0.201656,489.345
0.206149,496.517
0.209357,502.341
0.214293,502.369
0.218579,505.52
0.222436,508.221
0.228448,506.468
0.234018,511.413
0.239157,517.695
0.245366,525.323
0.251811,521.339
0.259744,524.957
