x,Khan2004-Fig2-233K-1e-3
0.001728,1076.36
0.005679,1117.82
0.008889,1130.91
0.01358,1146.18
0.019506,1162.55
0.025679,1177.82
0.03284,1194.18
0.039753,1213.82
0.046914,1223.64
0.052593,1236.73
0.06,1253.09
0.067654,1261.82
0.074568,1269.45
0.082716,1281.45
0.09037,1292.36
0.096543,1301.09
0.103457,1307.64
0.109383,1314.18
0.116296,1320.73
0.122716,1327.27
0.129383,1333.82
0.136543,1337.09
0.142963,1340.36

x,Khan2004-Fig2-296K-1e-3
0.000247,983.64
0.002716,1013.09
0.007654,1027.27
0.015062,1050.18
0.023704,1069.82
0.034815,1099.27
0.046173,1123.27
0.057531,1146.18
0.069136,1172.36
0.081728,1190.91
0.091852,1206.18
0.102469,1223.64
0.113086,1233.45
0.124198,1250.91
0.136049,1262.91
0.146667,1273.82
0.155309,1283.64
0.166173,1293.45
0.179753,1312
0.194568,1324

x,Khan2004-Fig2-422K-1e-3
0.000741,816.73
0.002716,835.27
0.006914,858.18
0.012099,884.36
0.020988,912.73
0.030864,940
0.041235,960.73
0.051852,981.45
0.06321,997.82
0.074568,1009.82
0.085926,1025.09
0.094815,1030.55
0.101481,1039.27
0.112099,1051.27
0.122469,1061.09
0.132593,1068.73
0.142716,1079.64
0.154074,1089.45
0.163457,1097.09
0.17284,1106.91
0.179753,1111.27
0.185679,1117.82

x,Khan2004-Fig2-588K-1e-3
0.003704,685.82
0.01284,729.45
0.023951,765.45
0.037284,797.09
0.04963,824.36
0.059753,840.73
0.07358,864.73
0.084444,882.18
0.096543,897.45
0.10716,913.82
0.120494,929.09
0.13358,947.64
0.144691,959.64
0.154815,972.73
0.165926,983.64
0.17679,997.82
0.187407,1008.73
0.199012,1019.64
0.210864,1029.45
0.219259,1037.09

x,Khan2004-Fig2-755K-1e-3
0.000741,518.91
0.008148,605.09
0.015062,633.45
0.025432,660.73
0.039506,691.27
0.051852,713.09
0.064691,734.91
0.07679,751.27
0.090123,768.73
0.103457,781.82
0.115802,794.91
0.130864,808
0.143457,820
0.158025,834.18
0.169877,845.09
0.180741,850.55
0.194568,863.64
0.207901,871.27
0.222222,882.18
0.233827,886.55
0.243457,892
0.254815,895.27
